Journal Report 1 (R4),Number of Successful Full-Text Article Requests by Month and Journal,,,,,,,,,,,,,,,
Cornell University,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Period covered by Report:,,,,,,,,,,,,,,,,
2018-01-01 to 2018-07-31,,,,,,,,,,,,,,,,
Date run:,,,,,,,,,,,,,,,,
9/14/18,,,,,,,,,,,,,,,,
Journal,Publisher,Platform,Journal DOI,Proprietary Identifier,Print ISSN,Online ISSN,Reporting Period Total,Reporting Period HTML,Reporting Period PDF,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18
Concurrency and Computation: Practice and Experience,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1532-0634,CPE,1532-0626,1532-0634,31,20,11,7,4,0,3,2,13,2
Concurrency: Practice and Experience,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-9128,CPE,1040-3108,1096-9128,0,0,0,0,0,0,0,0,0,0
Conflict Resolution Quarterly,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1541-1508,CRQ,1536-5581,1541-1508,77,17,60,5,7,6,33,24,1,1
Congenital Anomalies,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1741-4520,CGA,0914-3505,1741-4520,29,11,18,6,3,6,3,3,3,5
Congenital Heart Disease,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1747-0803,CHD,1747-079X,1747-0803,60,34,26,11,12,17,3,9,3,5
Congestive Heart Failure,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1751-7133,CHF,1527-5299,1751-7133,90,57,33,9,20,9,15,9,10,18
Conservation,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1936-6779,CBP,1936-2145,1936-6779,0,0,0,0,0,0,0,0,0,0
Conservation Biology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1523-1739,COBI,0888-8892,1523-1739,1257,679,578,155,332,194,135,212,118,111
Conservation in Practice,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1552-5228,CBP,1539-6827,1552-5228,1,0,1,0,0,0,1,0,0,0
Conservation Letters,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-263X,CON4,1755-263X,1755-263X,315,196,119,37,63,41,59,58,30,27
Constellations,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8675,CONS,1351-0487,1467-8675,140,40,100,13,21,21,18,52,2,13
Consumer Psychology Review,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2476-1281,ARCP,2476-1273,2476-1281,11,6,5,0,1,3,1,1,4,1
Contact Dermatitis,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0536,COD,0105-1873,1600-0536,65,34,31,4,9,7,14,4,4,23
Contemporary Accounting Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1911-3846,CARE,0823-9150,1911-3846,240,98,142,59,53,34,32,31,20,11
Contemporary Economic Policy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1465-7287,COEP,1074-3529,1465-7287,133,73,60,11,16,50,12,32,7,5
Contemporary Hypnosis,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1557-0711,CH,0960-5290,1557-0711,0,0,0,0,0,0,0,0,0,0
Continuing Cardiology Education,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2059-1594,CCE2,2059-1594,2059-1594,5,3,2,0,0,2,0,2,0,1
Contrast Media & Molecular Imaging,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1555-4317,CMMI,1555-4309,1555-4317,44,11,33,5,4,11,9,5,6,4
Contributions of the Latin American Anthropology Group,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1935-4940a,JLCA,1935-4940,1935-4940,0,0,0,0,0,0,0,0,0,0
Contributions of the Meteoritical Society,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1945-5100b,MAPS,0096-2805,1945-5100,0,0,0,0,0,0,0,0,0,0
Contributions of the Society for Research on Meteorites,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1945-5100c,MAPS,0096-2813,1945-5100,1,0,1,0,0,1,0,0,0,0
Contributions to Plasma Physics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-3986,2222,0863-1042,1521-3986,13,7,6,7,2,0,1,2,0,1
Conversations in Religion & Theology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1479-2214,CIRT,1479-2206,1479-2214,1,0,1,0,0,1,0,0,0,0
Corporate Governance: An International Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8683,CORG,0964-8410,1467-8683,35,13,22,1,5,1,3,10,7,8
Corporate Philanthropy Report,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1949-3207,CPRT,0885-8365,1949-3207,1,1,0,0,0,0,0,0,0,1
Corporate Social Responsibility and Environmental Management,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1535-3966,CSR,1535-3958,1535-3966,57,33,24,0,5,1,18,18,8,7
Council for Museum Anthropology newsletter,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1548-1379a,MUAN,0199-1450,1938-5080,0,0,0,0,0,0,0,0,0,0
Council on Anthropology and Education Newsletter,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1937-4380,AEQ,0591-2202,1937-4380,0,0,0,0,0,0,0,0,0,0
Council on Anthropology and Education Quarterly,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1937-4399,AEQ,0098-2881,1937-4399,0,0,0,0,0,0,0,0,0,0
Counseling and Values,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2161-007X,CVJ,0160-7960,2161-007X,3,1,2,0,0,0,3,0,0,0
Counselling and Psychotherapy Research,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1746-1405,CAPR,1473-3145,1746-1405,7,3,4,1,0,3,0,3,0,0
Counselor Education and Supervision,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1556-6978,CEAS,0011-0035,1556-6978,1,0,1,1,0,0,0,0,0,0
CPT: Pharmacometrics & Systems Pharmacology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2163-8306,PSP4,2163-8306,2163-8306,19,12,7,1,0,5,2,4,5,2
Creativity and Innovation Management,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8691,CAIM,0963-1690,1467-8691,43,16,27,4,8,10,5,4,10,2
Criminal Behaviour and Mental Health,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1471-2857,CBM,0957-9664,1471-2857,12,0,12,0,2,2,4,2,2,0
Criminology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-9125,CRIM,0011-1384,1745-9125,231,106,125,12,22,39,39,62,35,22
Criminology & Public Policy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-9133,CAPP,1538-6473,1745-9133,104,41,63,13,8,29,9,15,17,13
Critical Quarterly,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8705,CRIQ,0011-1562,1467-8705,77,38,39,5,5,2,15,47,0,3
CrossCurrents,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1939-3881,CROS,0011-1953,1939-3881,3,1,2,0,0,1,0,1,0,1
Crystal Research and Technology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-4079,2223,0232-1300,1521-4079,41,9,32,1,5,6,7,8,5,9
Cultural Anthropology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1548-1360,CUAN,0886-7356,1548-1360,650,368,282,63,198,123,77,110,36,43
Culture & Agriculture,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1556-486X,CUAG,1048-4876,1556-486X,25,6,19,0,2,4,13,5,0,1
"Culture, Agriculture, Food and Environment",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2153-9561,CUAG,2153-9553,2153-9561,49,18,31,15,6,15,5,4,3,1
Curator: The Museum Journal,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2151-6952,CURA,0011-3069,2151-6952,73,30,43,7,8,11,14,12,14,7
Current Directions in Psychological Science,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8721,CDIR,0963-7214,1467-8721,0,0,0,0,0,0,0,0,0,0
Current Protocols in Bioinformatics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1934-340X,CPBI,1934-3396,1934-340X,128,62,66,0,0,10,27,37,27,27
Current Protocols in Cell Biology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1934-2616, ,1934-2500,1934-2616,157,48,109,0,0,8,40,44,43,22
Current Protocols in Chemical Biology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2160-4762,CPCH,2160-4762,2160-4762,3,2,1,0,0,0,0,1,0,2
Current Protocols in Cytometry,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1934-9300, ,1934-9297,1934-9300,1,1,0,0,0,0,0,0,0,1
Current Protocols in Essential Laboratory Techniques,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1948-3430,CPET,1948-3430,1948-3430,8,3,5,0,0,0,0,8,0,0
Current Protocols in Food Analytical Chemistry,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2572-5602, ,2572-5599,2572-5602,0,0,0,0,0,0,0,0,0,0
Current Protocols in Human Genetics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1934-8258, ,1934-8266,1934-8258,47,15,32,0,0,0,14,8,7,18
Current Protocols in Immunology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1934-368X, ,1934-3671,1934-368X,195,59,136,0,0,16,45,52,46,36
Current Protocols in Magnetic Resonance Imaging,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2572-5637, ,2572-5637,2572-5637,0,0,0,0,0,0,0,0,0,0
Current Protocols in Microbiology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1934-8533, ,1934-8525,1934-8533,112,49,63,0,0,7,25,40,19,21
Current Protocols in Molecular Biology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1934-3647, ,1934-3639,1934-3647,215,67,148,0,0,17,56,58,47,37
Current Protocols in Mouse Biology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2161-2617,CPMO,2161-2617,2161-2617,0,0,0,0,0,0,0,0,0,0
Current Protocols in Neuroscience,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1934-8576, ,1934-8584,1934-8576,95,36,59,0,0,28,20,21,9,17
Current Protocols in Nucleic Acid Chemistry,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1934-9289, ,1934-9270,1934-9289,0,0,0,0,0,0,0,0,0,0
Current Protocols in Pharmacology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1934-8290, ,1934-8282,1934-8290,0,0,0,0,0,0,0,0,0,0
Current Protocols in Plant Biology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2379-8068,CPPB,2379-8068,2379-8068,34,13,21,0,0,0,4,15,7,8
Current Protocols in Protein Science,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1934-3663, ,1934-3655,1934-3663,106,23,83,0,0,4,30,32,25,15
Current Protocols in Stem Cell Biology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1938-8969, ,1941-7322,1938-8969,37,7,30,0,0,2,2,12,12,9
Current Protocols in Toxicology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1934-9262, ,1934-9254,1934-9262,32,6,26,0,0,3,9,10,7,3
Curriculum Inquiry,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-873X,CURI,0362-6784,1467-873X,8,4,4,3,0,2,2,1,0,0
Curtis's Botanical Magazine,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8748,CURT,1355-4905,1467-8748,10,3,7,0,0,5,1,1,3,0
Cytometry,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0320,CYTO,0196-4763,1097-0320,264,48,216,26,41,57,32,35,39,34
Cytometry Part A,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1552-4930,CYTO,1552-4922,1552-4930,626,297,329,103,103,128,84,82,55,71
Cytometry Part B: Clinical Cytometry,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1552-4957,CYTB,1552-4949,1552-4957,140,64,76,17,24,30,20,14,13,22
Cytopathology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2303,CYT,0956-5507,1365-2303,193,84,109,44,14,23,28,52,22,10
Cytoskeleton,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1949-3592,CM,1949-3584,1949-3592,40,17,23,4,2,7,6,9,5,7
Deafness & Education International,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1557-069X,DEI,1464-3154,1557-069X,0,0,0,0,0,0,0,0,0,0
Dean and Provost,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1943-7587,DAP,1527-6562,1943-7587,6,4,2,0,1,1,0,3,0,1
Decision Sciences,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-5915,DECI,0011-7315,1540-5915,47,15,32,4,12,4,5,7,5,10
Decision Sciences Journal of Innovative Education,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-4609,DSJI,1540-4595,1540-4609,15,7,8,1,1,6,4,0,1,2
Dental Traumatology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-9657,EDT,1600-4469,1600-9657,19,9,10,3,4,5,5,1,1,0
Depression,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1522-7162,DEPR,1062-6417,1522-7162,2,0,2,0,0,0,2,0,0,0
Depression and Anxiety,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6394,DA,1091-4269,1520-6394,236,121,115,24,63,29,45,29,25,21
Dermatologic Surgery,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1524-4725,DSU,1076-0512,1524-4725,87,51,36,7,12,9,4,7,30,18
Dermatologic Therapy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1529-8019,DTH,1396-0296,1529-8019,122,66,56,23,18,20,17,18,10,16
Design Management Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1942-5074, ,1942-5074,1948-7177,0,0,0,0,0,0,0,0,0,0
Design Management Journal,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1948-7177,DMJ,1942-5074,1948-7177,0,0,0,0,0,0,0,0,0,0
Design Management Journal (Former Series),John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1948-7169a,DREV,1045-7194,1948-7169,5,0,5,0,0,0,5,0,0,0
Design Management Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1948-7169,DREV,1557-0614,1948-7169,3,1,2,0,1,0,0,2,0,0
Deutsche Entomologische Zeitschrift,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1860-1324,2224,1435-1951,1860-1324,5,1,4,1,1,1,0,2,0,0
Developing World Bioethics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1471-8847,DEWB,1471-8731,1471-8847,16,6,10,0,0,9,0,3,4,0
Development and Alumni Relations Report,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1945-6255,DARR,1523-5343,1945-6255,0,0,0,0,0,0,0,0,0,0
Development and Change,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-7660,DECH,0012-155X,1467-7660,310,138,172,44,62,60,44,43,28,29
Development Policy Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-7679,DPR,0950-6764,1467-7679,117,40,77,16,22,20,22,25,7,5
"Development, Growth & Differentiation",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-169X,DGD,0012-1592,1440-169X,162,55,107,11,25,23,28,32,20,23
Developmental Disabilities Research Reviews,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1940-5529,DDRR,1940-5510,1940-5529,8,1,7,2,1,1,2,0,1,1
Developmental Dynamics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0177,DVDY,1058-8388,1097-0177,710,312,398,128,117,102,81,94,92,96
Developmental Genetics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6408,DVG,0192-253X,1520-6408,20,3,17,3,0,6,6,2,1,2
Developmental Medicine & Child Neurology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1469-8749,DMCN,0012-1622,1469-8749,399,129,270,49,60,55,47,137,30,21
Developmental Neurobiology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1932-846X,NEU,1932-8451,1932-846X,260,101,159,48,44,25,58,42,18,25
Developmental Psychobiology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1098-2302,DEV,0012-1630,1098-2302,236,96,140,12,41,48,50,48,23,14
Developmental Science,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-7687,DESC,1363-755X,1467-7687,353,175,178,72,29,58,60,67,28,39
Developments in Chemical Engineering and Mineral Processing,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1932-2143a,APJ,0969-1855,1932-2143,9,0,9,0,1,0,2,3,1,2
"Diabetes, Obesity and Metabolism",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1463-1326,DOM,1462-8902,1463-1326,263,125,138,50,47,46,25,44,31,20
Diabetes/Metabolism Research and Reviews,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-7560,DMRR,1520-7552,1520-7560,128,55,73,17,13,37,7,25,10,19
Diabetes/Metabolism Reviews,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0895,DMRR,0742-4221,1099-0895,8,0,8,0,0,1,1,2,1,3
Diabetic Medicine,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-9136,DME,0742-3071,1096-9136,3,0,3,1,0,0,1,1,0,0
Diabetic Medicine,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1464-5491,DME,0742-3071,1464-5491,283,135,148,75,32,45,35,39,25,32
Diagnostic Cytopathology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0339,DC,8755-1039,1097-0339,537,222,315,94,57,111,63,103,58,51
Dialectica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1746-8361,DLTC,0012-2017,1746-8361,18,8,10,2,4,2,4,2,3,1
Dialog,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-6385,DIAL,0012-2033,1540-6385,10,7,3,1,0,3,0,0,1,5
Dialysis & Transplantation,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)0090-2934, ,0090-2934,1932-6920,0,0,0,0,0,0,0,0,0,0
Dialysis & Transplantation,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1932-6920,DAT,0090-2934,1932-6920,35,12,23,12,2,3,7,2,5,4
DIBt Mitteilungen,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1437-1030,2095,1438-7778,1437-1030,0,0,0,0,0,0,0,0,0,0
Die Angewandte Makromolekulare Chemie,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1522-9505,2264,0003-3146,1522-9505,22,0,22,2,2,4,1,5,5,3
Die Makromolekulare Chemie,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)0025-116X,2261,0025-116X,0025-116X,169,3,166,14,33,23,33,28,20,18
"Die Makromolekulare Chemie, Rapid Communications",John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)0173-2803,2263,0173-2803,0173-2803,33,2,31,7,4,1,8,10,1,2
Die Unterrichtspraxis/Teaching German,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1756-1221,TGER,0042-062X,1756-1221,12,2,10,3,3,0,1,5,0,0
Differentiation,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1432-0436,DIF,0301-4681,1432-0436,14,12,2,0,5,0,4,2,3,0
Digest of Middle East Studies,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1949-3606,DOME,1060-4367,1949-3606,30,7,23,3,0,1,8,15,0,3
Digestive Endoscopy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1443-1661,DEN,0915-5635,1443-1661,75,40,35,7,17,4,14,5,22,6
Diplomatic History,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-7709,DIPH,0145-2096,1467-7709,36,7,29,2,4,4,15,9,2,0
Disability Compliance for Higher Education,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1943-8001,DHE,1086-1335,1943-8001,62,52,10,4,1,6,3,47,1,0
Disasters,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-7717,DISA,0361-3666,1467-7717,61,18,43,3,4,14,9,24,4,3
Diseases of the Esophagus,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1442-2050,DOTE,1120-8694,1442-2050,43,19,24,1,1,39,0,1,1,0
Diversity and Distributions,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1472-4642,DDI,1366-9516,1472-4642,387,222,165,54,84,83,64,52,29,21
Drug and Alcohol Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1465-3362,DAR,0959-5236,1465-3362,48,25,23,7,1,12,14,9,1,4
Drug Development Research,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1098-2299,DDR,0272-4391,1098-2299,49,11,38,4,14,7,10,3,9,2
Drug Testing and Analysis,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1942-7611,DTA,1942-7603,1942-7611,97,51,46,9,13,22,20,21,4,8
Dyslexia,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0909,DYS,1076-9242,1099-0909,15,7,8,0,0,0,7,8,0,0
Early Development and Parenting,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0917,ICD,1057-3593,1099-0917,1,0,1,0,0,1,0,0,0,0
Early Intervention in Psychiatry,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1751-7893,EIP,1751-7885,1751-7893,64,36,28,11,15,20,3,6,3,6
Early Medieval Europe,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-0254,EMED,0963-9462,1468-0254,120,53,67,17,10,10,54,20,5,4
Earth and Planetary Physics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2096-3955,EPP3,2096-3955,2096-3955,0,0,0,0,0,0,0,0,0,0
Earth and Space Science,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2333-5084,ESS2,2333-5084,2333-5084,63,28,35,9,7,4,9,12,7,15
Earth Surface Processes,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1931-8065,ESP,0360-1269,1931-8065,4,0,4,0,2,0,0,1,1,0
Earth Surface Processes and Landforms,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-9837,ESP,0197-9337,1096-9837,97,21,76,12,7,15,30,15,9,9
Earth's Future,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2328-4277,EFT2,2328-4277,2328-4277,194,81,113,34,17,44,39,27,15,18
Earthquake Engineering & Structural Dynamics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-9845,EQE,0098-8847,1096-9845,105,9,96,12,1,3,58,8,11,12
Echocardiography,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-8175,ECHO,0742-2822,1540-8175,177,76,101,37,34,19,16,21,26,24
Eco-Management and Auditing,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0925,EMA,0968-9427,1099-0925,1,0,1,1,0,0,0,0,0,0
Ecography,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0587,ECOG,0906-7590,1600-0587,460,217,243,79,110,93,73,29,40,36
Ecohydrology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1936-0592,ECO,1936-0584,1936-0592,105,47,58,15,12,17,19,10,19,13
Ecological Applications,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1939-5582,EAP,1051-0761,1939-5582,1114,616,498,114,200,223,233,156,115,73
Ecological Entomology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2311,EEN,0307-6946,1365-2311,296,144,152,64,44,39,38,49,47,15
Ecological Management & Restoration,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1442-8903,EMR,1442-7001,1442-8903,29,16,13,3,4,2,6,10,2,2
Ecological Monographs,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1557-7015,ECM,0012-9615,1557-7015,330,158,172,34,82,40,44,40,49,41
Ecological Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1703,ERE,0912-3814,1440-1703,7,6,1,2,3,0,0,1,1,0
Ecology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1939-9170,ECY,0012-9658,1939-9170,2466,1368,1098,366,502,435,353,305,241,264
Ecology and Evolution,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2045-7758,ECE3,2045-7758,2045-7758,817,494,323,151,135,154,100,112,80,85
Ecology Letters,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1461-0248,ELE,1461-023X,1461-0248,1731,1021,710,242,362,295,288,248,147,149
Ecology of Freshwater Fish,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0633,EFF,0906-6691,1600-0633,43,25,18,8,4,11,9,2,3,6
Econometrica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-0262,ECTA,0012-9682,1468-0262,602,86,516,34,78,81,148,99,95,67
Economic Affairs,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-0270,ECAF,0265-0665,1468-0270,22,9,13,0,2,3,8,3,3,3
Economic Anthropology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2330-4847,SEA2,2330-4847,2330-4847,51,24,27,23,6,5,8,5,2,2
Economic Geography,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1944-8287,ECGE,0013-0095,1944-8287,34,15,19,1,2,6,4,10,8,3
Economic Inquiry,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1465-7295,ECIN,0095-2583,1465-7295,249,101,148,32,32,49,50,45,23,18
Economic Notes,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-0300,ECNO,0391-5026,1468-0300,9,4,5,1,4,0,3,1,0,0
Economic Outlook,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-0319,ECOL,0140-489X,1468-0319,0,0,0,0,0,0,0,0,0,0
Economic Papers: A journal of applied economics and policy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1759-3441,ECPA,0812-0439,1759-3441,7,4,3,0,1,1,2,2,0,1
Economic Policy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-0327,ECOP,0266-4658,1468-0327,0,0,0,0,0,0,0,0,0,0
Economic Record,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1475-4932,ECOR,0013-0249,1475-4932,60,21,39,11,5,14,14,9,6,1
Economica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-0335,ECCA,0013-0427,1468-0335,70,37,33,2,3,13,21,19,6,6
Economics & Politics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-0343,ECPO,0954-1985,1468-0343,44,16,28,0,11,6,6,7,8,6
Economics of Transition,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-0351,ECOT,0967-0750,1468-0351,28,13,15,1,3,6,4,12,1,1
Ecosphere,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2150-8925,ECS2,2150-8925,2150-8925,613,378,235,94,113,86,83,102,82,53
Ecosystem Health,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1526-0992,EHE,1076-2825,1526-0992,0,0,0,0,0,0,0,0,0,0
Ecosystem Health and Sustainability,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2332-8878,EHS2,2332-8878,2332-8878,9,4,5,1,1,4,1,1,1,0
