Journal Report 5 (R4),Number of Successful Full-Text Article Requests by Year-of-Publication (YOP) and Journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period covered by Report:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 to 2018-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date run:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal,Publisher,Platform,Journal DOI,Proprietary Identifier,Print ISSN,Online ISSN,Articles In Press   ,YOP 2018            ,YOP 2017            ,YOP 2016            ,YOP 2015            ,YOP 2014            ,YOP 2013            ,YOP 2012            ,YOP 2011            ,YOP 2010            ,YOP 2009            ,YOP 2008            ,YOP 2007            ,YOP 2006            ,YOP 2005            ,YOP 2004            ,YOP 2003            ,YOP 2002            ,YOP 2001            ,YOP 2000            ,YOP 1999            ,YOP 1998            ,YOP 1997            ,YOP 1996            ,YOP 1995            ,YOP 1994            ,YOP 1993            ,YOP 1992            ,YOP 1991            ,YOP 1990            ,YOP Pre 1990        
Clinical Case Reports,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2050-0904,CCR3                ,2050-0904    ,2050-0904    ,3,12,13,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical Endocrinology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2265,CEN                 ,0300-0664    ,1365-2265    ,32,30,24,21,34,15,16,3,6,18,11,12,8,4,16,8,9,4,4,3,11,4,2,2,1,6,1,1,2,1,25
Clinical Genetics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1399-0004,CGE                 ,0009-9163    ,1399-0004    ,20,35,31,15,17,25,13,11,3,2,6,2,3,6,1,4,8,5,8,0,9,4,3,2,0,2,0,0,1,1,48
Clinical Implant Dentistry and Related Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1708-8208,CID                 ,1523-0899    ,1708-8208    ,2,5,6,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Clinical Liver Disease,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2046-2484,CLD                 ,2046-2484    ,2046-2484    ,0,2,20,32,11,15,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical Microbiology and Infection,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1469-0691,CLM                 ,1198-743X    ,1469-0691    ,4,0,0,0,0,17,15,23,7,2,6,11,4,5,13,14,13,2,16,20,4,10,7,0,0,0,0,0,0,0,0
Clinical Obesity,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1758-8111,COB                 ,1758-8103    ,1758-8111    ,3,2,5,3,1,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical Oral Implants Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0501,CLR                 ,0905-7161    ,1600-0501    ,4,0,10,1,3,4,1,2,1,1,2,1,1,4,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Clinical Otolaryngology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1749-4486,COA                 ,1749-4478    ,1749-4486    ,9,4,24,5,1,0,2,0,1,5,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical Otolaryngology & Allied Sciences,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2273,COA                 ,0307-7772    ,1365-2273    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,1,0,0,1
Clinical Pharmacology & Therapeutics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1532-6535,CPT                 ,0009-9236    ,1532-6535    ,25,28,44,17,19,15,22,15,16,14,8,16,10,1,6,2,8,6,4,4,2,1,0,2,0,3,6,4,1,3,52
Clinical and Experimental Dental Research,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2057-4347,CRE2                ,2057-4347    ,2057-4347    ,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical and Experimental Dermatology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2230,CED                 ,0307-6938    ,1365-2230    ,15,4,15,11,8,8,9,4,5,3,18,5,9,1,5,7,3,2,2,6,1,0,1,1,7,0,2,3,3,1,4
Clinical and Experimental Neuroimmunology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1759-1961,CEN3                ,1759-1961    ,1759-1961    ,1,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical and Experimental Optometry,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1444-0938,CXO                 ,0816-4622    ,1444-0938    ,6,1,8,1,4,7,8,3,5,3,6,4,0,1,2,0,0,1,0,0,1,2,5,0,0,0,0,0,0,0,0
Clinical and Experimental Pharmacology and Physiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1681,CEP                 ,0305-1870    ,1440-1681    ,4,3,24,15,5,6,6,5,0,11,2,1,9,8,0,4,0,0,0,12,2,0,0,4,1,0,0,1,0,0,4
Clinical and Translational Science,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1752-8062,CTS                 ,1752-8054    ,1752-8062    ,3,8,18,3,32,3,6,6,2,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS Drug Reviews,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1527-3458,CNS                 ,1080-563X    ,1527-3458    ,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,4,3,11,1,0,3,0,0,2,0,0,0,0,0,0
CNS Neuroscience & Therapeutics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-5949,CNS                 ,1755-5930    ,1755-5949    ,17,16,7,9,12,7,6,15,3,6,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical Pharmacology in Drug Development,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2160-7648,CPDD                ,2160-763X    ,2160-7648    ,0,3,3,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical Physiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2281,CPF                 ,0144-5979    ,1365-2281    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Clinical Physiology and Functional Imaging,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1475-097X,CPF                 ,1475-0961    ,1475-097X    ,1,8,4,0,2,7,0,6,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical Progress in Pacing and Electrophysiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-8167c,JCE                 ,0736-6108    ,1540-8167    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Clinical Psychologist,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1742-9552,CP                  ,1328-4207    ,1742-9552    ,0,1,1,0,3,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical Psychology & Psychotherapy,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0879,CPP                 ,1063-3995    ,1099-0879    ,13,4,18,1,3,4,3,8,7,2,1,1,4,1,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Clinical Psychology: Science and Practice,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-2850,CPSP                ,0969-5893    ,1468-2850    ,3,0,4,0,1,1,5,2,2,1,1,6,0,3,4,8,12,10,2,1,5,4,1,0,0,0,0,0,0,0,0
Clinical Transplantation,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1399-0012,CTR                 ,0902-0063    ,1399-0012    ,30,8,74,20,8,12,18,8,11,10,12,6,5,3,4,6,4,3,3,0,1,0,0,0,0,0,0,0,0,0,0
Cognitive Science,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1551-6709,COGS                ,0364-0213    ,1551-6709    ,47,26,44,16,16,5,16,5,10,8,6,5,17,6,6,0,2,3,0,1,0,4,1,2,2,4,1,2,0,5,22
Color Research & Application,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6378,COL                 ,0361-2317    ,1520-6378    ,0,11,3,10,2,5,7,9,1,0,8,4,2,6,0,8,1,3,2,0,0,0,0,2,0,0,0,0,0,0,0
Coloration Technology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1478-4408,COTE                ,1472-3581    ,1478-4408    ,0,0,3,1,3,1,0,0,0,4,1,0,2,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0
Colorectal Disease,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1463-1318,CODI                ,1462-8910    ,1463-1318    ,6,8,23,20,16,10,11,13,13,19,10,2,11,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Communication Theory,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-2885,COMT                ,1050-3293    ,1468-2885    ,0,0,8,4,3,8,8,7,8,9,0,4,7,13,2,3,12,10,4,11,7,4,0,3,1,4,6,3,5,0,0
"Communication, Culture & Critique",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1753-9137,CCCR                ,1753-9129    ,1753-9137    ,0,0,6,4,6,3,10,11,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Communications in Numerical Methods in Engineering,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0887,CNM                 ,1069-8299    ,1099-0887    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
Communications on Pure and Applied Mathematics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0312,CPA                 ,0010-3640    ,1097-0312    ,1,7,2,5,1,5,6,1,0,1,0,3,1,1,1,2,1,2,1,1,1,0,2,0,0,2,2,2,2,2,64
Community Dentistry and Oral Epidemiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0528,CDOE                ,0301-5661    ,1600-0528    ,0,0,1,2,1,1,0,0,0,5,0,0,5,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Community Health Studies,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1753-6405b,AZPH                ,0314-9021    ,1753-6405    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Companion Animal,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2044-3862,COAN                ,1464-4630    ,2044-3862    ,0,0,0,0,0,0,13,5,6,4,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparative and Functional Genomics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1532-6268,CFG                 ,1531-6912    ,1532-6268    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0
Competitive Intelligence Review,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6386,CIR                 ,1058-0247    ,1520-6386    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0
Complexity,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0526,CPLX                ,1076-2787    ,1099-0526    ,1,0,0,8,3,1,3,0,2,2,1,0,1,3,1,0,4,2,0,1,0,0,0,1,0,0,0,0,0,0,0
Comprehensive Reviews in Food Science and Food Safety,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1541-4337,CRF3                ,1541-4337    ,1541-4337    ,13,40,88,74,44,87,33,30,24,62,28,25,13,25,2,1,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Computational Intelligence,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8640,COIN                ,0824-7935    ,1467-8640    ,2,1,2,2,4,1,1,0,0,0,0,0,2,2,0,0,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0
Computer Aided Surgery,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0150,IGS                 ,1092-9088    ,1097-0150    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Computer Animation and Virtual Worlds,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1546-427X,CAV                 ,1546-4261    ,1546-427X    ,0,0,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Computer Applications in Engineering Education,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0542,CAE                 ,1061-3773    ,1099-0542    ,1,0,3,0,2,1,1,2,0,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Computer Graphics Forum,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8659,CGF                 ,0167-7055    ,1467-8659    ,3,13,19,14,15,7,6,6,4,5,3,6,1,0,0,2,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Computer-Aided Civil and Infrastructure Engineering,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8667,MICE                ,1093-9687    ,1467-8667    ,0,3,0,6,1,1,3,0,4,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Concepts in Magnetic Resonance,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0534,CMR                 ,1043-7347    ,1099-0534    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,2,0,1,0,4,0,0,0,0,2,1
Concepts in Magnetic Resonance Part A,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1552-5023,CMR                 ,1546-6086    ,1552-5023    ,0,0,0,3,1,0,2,5,0,0,0,0,0,4,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Concepts in Magnetic Resonance Part B: Magnetic Resonance Engineering,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1552-504X,CMR                 ,1552-5031    ,1552-504X    ,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Concurrency and Computation: Practice and Experience,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1532-0634,CPE                 ,1532-0626    ,1532-0634    ,3,2,11,2,10,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conflict Resolution Quarterly,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1541-1508,CRQ                 ,1536-5581    ,1541-1508    ,0,1,2,3,18,14,1,7,3,3,3,0,0,1,0,13,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0
CPT: Pharmacometrics & Systems Pharmacology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2163-8306,PSP4                ,2163-8306    ,2163-8306    ,2,1,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congenital Anomalies,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1741-4520,CGA                 ,0914-3505    ,1741-4520    ,4,1,3,3,1,3,5,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Congenital Heart Disease,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1747-0803,CHD                 ,1747-079X    ,1747-0803    ,1,5,18,3,12,7,7,1,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congestive Heart Failure,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1751-7133,CHF                 ,1527-5299    ,1751-7133    ,0,0,0,0,0,0,8,16,9,12,5,6,6,0,3,1,20,0,1,3,0,0,0,0,0,0,0,0,0,0,0
Conservation Biology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1523-1739,COBI                ,0888-8892    ,1523-1739    ,83,131,130,73,51,72,68,53,35,44,37,135,33,58,36,35,66,29,21,20,15,24,7,0,0,0,0,0,0,0,1
Conservation Letters,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-263X,CONL                ,1755-263X    ,1755-263X    ,58,30,53,15,16,28,28,10,21,7,16,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conservation in Practice,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1552-5228,CBP                 ,1539-6827    ,1552-5228    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Constellations,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8675,CONS                ,1351-0487    ,1467-8675    ,4,10,19,15,4,11,4,6,1,26,3,4,11,4,6,2,2,1,1,2,1,2,1,0,0,0,0,0,0,0,0
Consumer Psychology Review,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2476-1281,ARCP                ,2476-1273    ,2476-1281    ,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contact Dermatitis,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0536,COD                 ,0105-1873    ,1600-0536    ,3,5,5,3,4,2,0,4,1,4,1,3,1,0,0,4,0,1,8,2,0,0,2,0,1,1,0,1,2,0,7
Contemporary Accounting Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1911-3846,CARE                ,0823-9150    ,1911-3846    ,30,4,35,42,18,9,22,21,21,6,5,6,2,4,1,7,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0
Contemporary Economic Policy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1465-7287,COEP                ,1074-3529    ,1465-7287    ,0,4,13,26,2,4,4,14,2,2,0,0,4,1,3,0,1,17,15,0,0,1,3,8,8,1,0,0,0,0,0
Continuing Cardiology Education,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2059-1594,CCE2                ,2059-1594    ,2059-1594    ,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contrast Media & Molecular Imaging,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1555-4317,CMMI                ,1555-4309    ,1555-4317    ,0,0,0,14,4,3,4,1,8,3,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contributions of the Society for Research on Meteorites,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1945-5100c,MAPS                ,0096-2813    ,1945-5100    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Contributions to Plasma Physics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-3986,CTPP                ,0863-1042    ,1521-3986    ,2,1,6,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Conversations in Religion & Theology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1479-2214,CIRT                ,1479-2206    ,1479-2214    ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corporate Governance: An International Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8683,CORG                ,0964-8410    ,1467-8683    ,1,0,1,3,5,2,1,4,1,1,3,1,3,0,1,1,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Corporate Philanthropy Report,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1949-3207,CPRT                ,0885-8365    ,1949-3207    ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corporate Social Responsibility and Environmental Management,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1535-3966,CSR                 ,1535-3958    ,1535-3966    ,2,2,12,0,7,0,2,6,5,3,6,2,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Counseling and Values,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2161-007X,CVJ                 ,0160-7960    ,2161-007X    ,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Counselling and Psychotherapy Research,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1746-1405,CAPR                ,1473-3145    ,1746-1405    ,1,1,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Counselor Education and Supervision,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1556-6978,CEAS                ,0011-0035    ,1556-6978    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Creativity and Innovation Management,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8691,CAIM                ,0963-1690    ,1467-8691    ,0,1,6,0,5,3,7,0,2,3,0,0,2,0,3,3,0,1,1,1,0,0,1,0,1,0,1,2,0,0,0
Criminal Behaviour and Mental Health,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1471-2857,CBM                 ,0957-9664    ,1471-2857    ,0,0,2,0,0,0,0,1,0,1,2,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Criminology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-9125,CRIM                ,0011-1384    ,1745-9125    ,18,13,43,8,1,17,13,16,23,8,7,13,6,9,1,0,5,7,4,8,1,10,0,0,0,0,0,0,0,0,0
Criminology & Public Policy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-9133,CAPP                ,1538-6473    ,1745-9133    ,1,1,29,20,4,1,3,3,19,3,1,3,7,3,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Critical Quarterly,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8705,CRIQ                ,0011-1562    ,1467-8705    ,0,0,5,0,4,2,4,3,1,2,43,0,1,0,3,0,1,0,1,6,0,1,0,0,0,0,0,0,0,0,0
CrossCurrents,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1939-3881,CROS                ,0011-1953    ,1939-3881    ,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Research and Technology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-4079,CRAT                ,0232-1300    ,1521-4079    ,3,0,0,4,5,0,1,3,1,4,0,3,2,1,1,0,1,4,2,0,0,0,1,5,0,0,0,0,0,0,0
Cultural Anthropology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1548-1360,CUAN                ,0886-7356    ,1548-1360    ,0,24,69,31,12,155,30,50,39,24,112,31,9,5,14,5,7,7,2,4,3,1,3,2,1,2,1,3,0,1,3
Culture & Agriculture,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1556-486X,CUAG                ,1048-4876    ,1556-486X    ,0,0,0,0,0,0,0,0,0,6,1,0,0,1,1,0,0,1,0,0,0,0,2,0,5,1,1,0,0,0,6
"Culture, Agriculture, Food and Environment",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2153-9561,CUAG                ,2153-9553    ,2153-9561    ,0,1,18,9,2,7,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curator: The Museum Journal,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2151-6952,CURA                ,0011-3069    ,2151-6952    ,0,1,11,5,2,6,1,0,0,7,0,3,2,6,2,0,2,3,1,0,0,3,0,1,1,1,0,0,0,0,15
Current Protocols in Bioinformatics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1934-340X,CPBI                ,1934-3396    ,1934-340X    ,88,19,3,10,0,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Current Protocols in Cell Biology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1934-2616,CPCB                ,1934-2500    ,1934-2616    ,64,3,0,0,0,0,0,0,1,21,3,9,5,22,3,1,5,1,0,5,0,10,0,0,0,0,0,0,0,0,0
Current Protocols in Chemical Biology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2160-4762,CPCH                ,2160-4762    ,2160-4762    ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Current Protocols in Cytometry,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1934-9300,CPCY                ,1934-9297    ,1934-9300    ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Current Protocols in Essential Laboratory Techniques,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1948-3430,CPET                ,1948-3430    ,1948-3430    ,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Current Protocols in Human Genetics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1934-8258,CPHG                ,1934-8266    ,1934-8258    ,38,6,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Current Protocols in Immunology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1934-368X,CPIM                ,1934-3671    ,1934-368X    ,186,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
Current Protocols in Microbiology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1934-8533,CPMC                ,1934-8525    ,1934-8533    ,100,2,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Current Protocols in Molecular Biology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1934-3647,CPMB                ,1934-3639    ,1934-3647    ,164,10,2,0,0,0,0,8,1,1,2,0,0,6,0,1,4,1,0,0,1,0,1,0,0,0,9,1,3,0,0
Current Protocols in Neuroscience,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1934-8576,CPNS                ,1934-8584    ,1934-8576    ,63,5,0,2,0,0,0,0,0,0,3,0,0,1,1,9,1,0,1,0,1,0,8,0,0,0,0,0,0,0,0
Current Protocols in Plant Biology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2379-8068,CPPB                ,2379-8068    ,2379-8068    ,24,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Current Protocols in Protein Science,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1934-3663,CPPS                ,1934-3655    ,1934-3663    ,99,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
