Journal Report 5 (R4),Number of Successful Full-Text Article Requests by Year-of-Publication (YOP) and Journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period covered by Report:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01 to 2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date run:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal,Publisher,Platform,Journal DOI,Proprietary Identifier,Print ISSN,Online ISSN,Articles In Press   ,YOP 2017            ,YOP 2016            ,YOP 2015            ,YOP 2014            ,YOP 2013            ,YOP 2012            ,YOP 2011            ,YOP 2010            ,YOP 2009            ,YOP 2008            ,YOP 2007            ,YOP 2006            ,YOP 2005            ,YOP 2004            ,YOP 2003            ,YOP 2002            ,YOP 2001            ,YOP 2000            ,YOP 1999            ,YOP 1998            ,YOP 1997            ,YOP 1996            ,YOP 1995            ,YOP 1994            ,YOP 1993            ,YOP 1992            ,YOP 1991            ,YOP 1990            ,YOP Pre 1990        
Australian Endodontic Newsletter,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1747-4477a,AEJ                 ,0313-7384    ,1747-4477    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Australian Journal of Agricultural Economics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8489a,AJAR                ,0004-9395    ,1467-8489    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,9
Australian Journal of Agricultural and Resource Economics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8489,AJAR                ,1364-985X    ,1467-8489    ,8,15,10,21,11,8,3,2,3,3,1,2,8,0,1,1,2,2,8,0,1,1,0,0,0,0,0,0,0,0
Australian Journal of Earth Sciences,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-0952,AES                 ,0812-0099    ,1440-0952    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australian and New Zealand Journal of Family Therapy,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1467-8438,ANZF                ,0814-723X    ,1467-8438    ,0,8,10,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Australian and New Zealand Journal of Medicine,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1445-5994a,IMJ                 ,0004-8291    ,1445-5994    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,0,0,0,0,0,3
Australian and New Zealand Journal of Mental Health Nursing,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-0979,INM                 ,1324-3780    ,1440-0979    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Australian and New Zealand Journal of Obstetrics and Gynaecology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1479-828X,AJO                 ,0004-8666    ,1479-828X    ,12,7,20,8,9,8,5,6,10,9,1,9,2,10,4,2,1,1,3,4,0,0,0,1,3,1,4,3,2,15
Australian and New Zealand Journal of Ophthalmology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1606,CEO                 ,0814-9763    ,1440-1606    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,1,3
Australian and New Zealand Journal of Psychiatry,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1614,ANP                 ,0004-8674    ,1440-1614    ,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,1,12,0,4,0,3,0,0,0,0,0,0,0,0,0
Australian and New Zealand Journal of Public Health,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1753-6405,AZPH                ,1326-0200    ,1753-6405    ,5,28,4,7,7,4,4,9,3,5,3,18,4,0,3,1,5,7,1,4,0,0,2,0,0,0,0,0,0,0
Australian and New Zealand Journal of Surgery,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1445-2197a,ANS                 ,0004-8682    ,1445-2197    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,3,0,4,4,0,0,1,3,4,17
AWHONN Lifelines,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1552-6356,LIFE                ,1091-5923    ,1552-6356    ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Australian Journal of Ecology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1442-9993a,AEC                 ,0307-692X    ,1442-9993    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,2,0,0,0,0
Australian Journal of Entomology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-6055,AEN                 ,1326-6756    ,1440-6055    ,0,0,0,0,0,2,3,0,3,0,25,0,3,1,0,0,1,19,2,0,0,0,0,0,0,0,1,0,0,9
Australian Journal of Grape and Wine Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-0238,AJGW                ,1322-7130    ,1755-0238    ,34,58,66,100,50,28,21,72,36,14,13,15,31,30,6,15,20,8,30,10,8,7,5,14,0,0,0,0,0,0
Australian Journal of Opthalmology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1442-9071a,CEO                 ,0310-1177    ,1442-9071    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Australian Journal of Politics & History,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8497,AJPH                ,0004-9522    ,1467-8497    ,1,3,5,7,6,3,1,2,2,1,0,0,0,0,0,0,1,1,0,0,5,4,0,0,0,0,0,0,0,0
Australian Journal of Psychology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1742-9536,AJPY                ,0004-9530    ,1742-9536    ,6,1,12,0,10,0,4,1,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australian Journal of Public Administration,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8500,AUPA                ,0313-6647    ,1467-8500    ,2,7,2,3,2,2,4,0,3,1,10,2,0,0,2,0,2,6,1,0,0,0,0,0,0,0,0,0,0,3
Australian Journal of Public Health,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1753-6405a,AZPH                ,1035-7319    ,1753-6405    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Australian Journal of Rural Health,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1584,AJR                 ,1038-5282    ,1440-1584    ,4,1,0,0,2,3,0,1,1,1,1,2,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Australian Journal of Social Issues,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1839-4655,AJS4                ,0157-6321    ,1839-4655    ,0,0,8,1,4,0,2,0,5,2,5,2,1,3,1,1,3,1,3,0,0,1,0,0,0,0,0,0,0,0
Australian Journal of Statistics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-842Xa,ANZS                ,0004-9581    ,1467-842X    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,11
Australian Journal on Ageing,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1741-6612a,AJAG                ,0726-4240    ,1741-6612    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1
Australian Occupational Therapy Journal,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1630,AOT                 ,0045-0766    ,1440-1630    ,4,5,3,11,3,1,0,6,0,3,2,1,3,0,0,3,0,4,0,9,0,0,0,0,0,0,0,0,0,0
Australian Psychologist,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1742-9544,AP                  ,0005-0067    ,1742-9544    ,2,6,2,0,4,0,4,0,1,0,1,1,1,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Australian Veterinary Journal,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1751-0813,AVJ                 ,0005-0423    ,1751-0813    ,2,147,96,39,44,46,30,59,45,35,32,21,30,39,20,40,19,30,27,60,24,37,4,9,11,7,10,9,2,154
Autism Research,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1939-3806,AUR                 ,1939-3792    ,1939-3806    ,112,76,39,5,13,8,10,7,7,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomic and Autacoid Pharmacology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1474-8673,AAP                 ,1474-8665    ,1474-8673    ,0,2,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banks in Insurance Report,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1530-9991,BIR                 ,8756-6079    ,1530-9991    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Basic & Clinical Pharmacology & Toxicology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1742-7843,BCPT                ,1742-7835    ,1742-7843    ,29,16,25,16,38,7,17,8,5,2,6,0,6,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basic and Applied Pathology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-9294,BAAP                ,1755-9294    ,1755-9294    ,0,0,0,0,0,0,0,3,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basin Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2117,BRE                 ,0950-091X    ,1365-2117    ,10,5,1,2,0,0,0,1,10,0,3,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Bauphysik,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1437-0980,BAPI                ,0171-5445    ,1437-0980    ,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bauregelliste A, Bauregelliste B und Liste C",John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1862-3093,BRLO                ,1862-3077    ,1862-3093    ,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bautechnik,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1437-0999,BATE                ,0932-8351    ,1437-0999    ,0,6,3,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Behavioral Interventions,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-078X,BIN                 ,1072-0847    ,1099-078X    ,1,3,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Behavioral Sciences & the Law,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0798,BSL                 ,0735-3936    ,1099-0798    ,4,5,22,12,11,14,5,3,7,3,3,8,4,6,2,0,0,7,2,0,2,0,0,0,0,0,0,0,0,0
Bell Labs Technical Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1538-7305,BLTJ                ,1089-7089    ,1538-7305    ,0,0,0,0,0,0,1,2,0,0,1,0,0,2,0,0,1,0,2,1,0,0,2,0,0,0,0,0,0,0
Berichte der Deutschen Botanischen Gesellschaft,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1438-8677c,PLB                 ,0365-9631    ,1438-8677    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Berichte der deutschen chemischen Gesellschaft,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0682b,CBER                ,0365-9496    ,1099-0682    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Berichte der deutschen chemischen Gesellschaft (A and B Series),John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0682a,CBER                ,0365-9488    ,1099-0682    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Berichte zur Wissenschaftsgeschichte,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1522-2365,BEWI                ,0170-6233    ,1522-2365    ,0,3,5,1,1,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Berliner entomologische Zeitschrift,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1860-1324a,MMND                ,0323-6145    ,1860-1324    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Beton- und Stahlbetonbau,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1437-1006,BEST                ,0005-9900    ,1437-1006    ,0,12,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BioEssays,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-1878,BIES                ,0265-9247    ,1521-1878    ,78,329,185,152,132,86,55,45,32,37,29,19,37,26,21,21,31,25,15,14,8,8,11,12,13,11,15,5,10,14
Biochemical Education,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1879-1468,BMB                 ,0307-4412    ,1879-1468    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,16,5,15,15,16,9,16,12,22,152
Biochemistry and Molecular Biology Education,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1539-3429,BMB                 ,1470-8175    ,1539-3429    ,16,22,22,10,14,20,46,80,67,28,26,34,22,64,38,32,52,4,2,0,0,0,0,0,0,0,0,0,0,0
Bioelectromagnetics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-186X,BEM                 ,0197-8462    ,1521-186X    ,6,4,2,0,5,0,4,1,2,0,3,0,0,5,3,1,0,0,0,1,0,1,0,0,0,0,1,0,0,17
Bioengineering & Translational Medicine,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2380-6761,BTM2                ,2380-6761    ,2380-6761    ,14,11,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bioethics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8519,BIOE                ,0269-9702    ,1467-8519    ,9,163,42,18,13,10,5,6,4,18,14,1,5,4,9,4,1,3,105,8,0,1,0,2,0,0,2,2,1,0
BJOG: An International Journal of Obstetrics & Gynaecology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1471-0528,BJO                 ,1470-0328    ,1471-0528    ,105,96,102,82,75,46,34,36,22,39,33,55,33,29,27,10,32,17,23,13,14,22,10,3,9,0,10,4,3,38
BJS,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1365-2168,BJS                 ,0007-1323    ,1365-2168    ,27,122,55,40,56,49,64,22,23,50,16,27,29,9,32,23,7,6,9,7,6,10,3,4,8,6,9,3,6,85
BJS Open,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2474-9842,BJS5                ,2474-9842    ,2474-9842    ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJU International,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1464-410X,BJU                 ,1464-4096    ,1464-410X    ,85,144,188,121,107,156,148,111,61,53,66,43,48,78,62,35,35,18,22,12,0,0,0,0,0,0,0,0,0,0
BioFactors,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1872-8081,BIOF                ,0951-6433    ,1872-8081    ,17,24,13,11,12,10,14,12,3,16,2,0,8,16,8,4,0,5,3,3,1,1,0,0,0,0,0,0,0,0
"Biofuels, Bioproducts and Biorefining",John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1932-1031,BBB                 ,1932-104X    ,1932-1031    ,6,23,19,8,22,17,6,7,9,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bioimaging,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1361-6374,BIO                 ,0966-9051    ,1361-6374    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
Biological Journal of the Linnean Society,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1095-8312,BIJ                 ,0024-4066    ,1095-8312    ,19,0,34,46,21,17,32,3,9,17,13,12,10,20,27,5,10,1,5,2,1,5,5,0,6,3,4,10,3,52
Biological Reviews,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1469-185X,BRV                 ,1464-7931    ,1469-185X    ,164,121,52,72,43,53,29,28,49,20,16,40,20,9,3,4,2,6,9,3,3,3,1,4,4,1,2,2,1,91
Biologie in unserer Zeit,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-415X,BIUZ                ,0045-205X    ,1521-415X    ,0,6,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Biology of the Cell,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1768-322X,BOC                 ,0248-4900    ,1768-322X    ,11,34,10,9,8,6,5,8,10,20,27,15,3,8,5,2,0,2,1,4,2,0,1,0,1,1,2,3,2,4
Biomedical Chromatography,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0801,BMC                 ,0269-3879    ,1099-0801    ,19,13,55,16,11,22,17,6,7,16,5,6,10,5,3,0,2,0,2,2,1,0,0,0,0,1,0,0,0,3
Biometrical Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-4036,BIMJ                ,0323-3847    ,1521-4036    ,3,2,13,5,5,3,2,8,8,6,15,1,5,5,1,3,1,1,0,1,1,1,7,0,0,0,0,0,0,0
Biometrics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1541-0420,BIOM                ,0006-341X    ,1541-0420    ,102,55,47,26,27,15,36,13,6,10,10,5,19,17,8,24,8,32,25,10,0,0,0,0,0,0,0,0,0,0
Biopharmaceutics & Drug Disposition,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-081X,BDD                 ,0142-2782    ,1099-081X    ,2,5,4,6,4,7,0,0,0,0,1,4,1,1,1,0,1,1,2,0,0,2,0,4,2,1,2,1,2,3
Biopolymers,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0282,BIP                 ,0006-3525    ,1097-0282    ,6,8,39,3,14,35,7,36,19,15,26,16,18,21,17,13,11,30,14,0,6,1,3,3,5,3,6,4,6,154
Biospectroscopy,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6343,BSPY                ,1075-4261    ,1520-6343    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,1,0,0,0,0,0,0
Biotechnology Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1860-7314,BIOT                ,1860-6768    ,1860-7314    ,43,103,87,111,47,90,77,20,12,6,9,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biotechnology Progress,John Wiley and Sons,Wiley Online Library,10.1021/(ISSN)1520-6033,BTPR                ,8756-7938    ,1520-6033    ,41,19,38,29,37,32,41,17,27,15,29,29,47,59,29,28,18,18,34,23,29,16,9,0,0,0,0,0,0,2
Biotechnology and Applied Biochemistry,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1470-8744,BAB                 ,0885-4513    ,1470-8744    ,13,3,9,4,9,6,4,13,5,14,11,8,6,2,4,8,5,0,4,6,0,0,0,0,0,0,0,0,0,0
Biotechnology and Bioengineering,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0290,BIT                 ,0006-3592    ,1097-0290    ,61,175,207,76,119,134,113,76,64,45,41,59,41,35,36,43,52,25,40,17,29,21,56,35,21,34,25,21,22,254
Biotropica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1744-7429,BTP                 ,0006-3606    ,1744-7429    ,42,38,40,4,12,8,12,3,3,25,13,10,5,3,3,2,0,1,3,1,0,0,0,0,0,0,0,0,0,0
Bipolar Disorders,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1399-5618,BDI                 ,1398-5647    ,1399-5618    ,16,18,66,22,27,16,10,8,9,25,11,3,4,4,7,3,10,14,1,1,0,0,0,0,0,0,0,0,0,0
Birth,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1523-536X,BIRT                ,0730-7659    ,1523-536X    ,9,10,12,4,11,2,5,6,3,4,4,8,5,2,0,5,10,2,3,0,1,2,0,0,3,0,0,1,1,3
Birth Defects Research,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2472-1727,BDR2                ,2472-1727    ,2472-1727    ,18,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birth Defects Research Part A: Clinical and Molecular Teratology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1542-0760,BDRA                ,1542-0752    ,1542-0760    ,0,8,12,17,29,8,18,26,28,22,7,31,0,10,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birth Defects Research Part B: Developmental and Reproductive Toxicology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1542-9741,BDRB                ,1542-9733    ,1542-9741    ,0,0,0,2,7,5,2,8,12,1,5,13,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birth Defects Research Part C: Embryo Today: Reviews,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1542-9768,BDRC                ,1542-975X    ,1542-9768    ,0,0,9,20,14,8,15,11,5,10,6,11,10,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Board & Administrator for Administrators Only,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1949-3215,BAN                 ,1525-7878    ,1949-3215    ,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boreas,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1502-3885,BOR                 ,0300-9483    ,1502-3885    ,24,2,5,4,2,0,0,4,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Botanica Acta,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1438-8677b,PLB                 ,0932-8629    ,1438-8677    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Botanical Journal of the Linnean Society,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1095-8339,BOJ                 ,0024-4074    ,1095-8339    ,2,0,76,11,2,5,6,3,2,7,1,0,2,10,2,12,2,2,4,3,1,1,0,0,3,0,1,4,0,20
Brain Pathology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1750-3639,BPA                 ,1015-6305    ,1750-3639    ,56,70,67,69,48,33,15,49,20,10,26,23,4,6,9,3,7,6,2,5,7,4,3,3,4,2,1,1,0,0
Brain and Behavior,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2157-9032,BRB3                ,2162-3279    ,2162-3279    ,8,31,14,9,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Briefings in Real Estate Finance,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1555-0990,BREF                ,1473-1894    ,1555-0990    ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
British Educational Research Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1469-3518,BERJ                ,0141-1926    ,1469-3518    ,2,9,5,12,0,0,1,2,2,4,6,0,3,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0
British Journal of Addiction,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1360-0443a,ADD                 ,0952-0481    ,1360-0443    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,11
British Journal of Addiction to Alcohol & Other Drugs,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1360-0443b,ADD                 ,0007-0890    ,1360-0443    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
British Journal of Clinical Pharmacology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2125,BCP                 ,0306-5251    ,1365-2125    ,73,100,83,27,27,18,15,21,2,7,1,8,10,1,2,3,8,6,2,5,3,3,2,4,3,4,2,5,1,49
British Journal of Clinical Psychology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2044-8260,BJC                 ,0144-6657    ,2044-8260    ,5,3,8,4,3,5,1,3,2,0,6,4,4,4,11,2,2,0,0,3,0,3,0,0,0,0,17,0,0,1
British Journal of Dermatology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2133,BJD                 ,0007-0963    ,1365-2133    ,142,116,105,97,75,78,33,53,49,31,50,48,50,37,14,37,29,44,27,15,22,20,12,6,6,6,9,7,2,97
British Journal of Developmental Psychology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2044-835X,BJDP                ,0261-510X    ,2044-835X    ,10,13,4,4,5,3,2,10,4,3,2,0,10,0,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0
British Journal of Educational Psychology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2044-8279,BJEP                ,0007-0998    ,2044-8279    ,1,6,8,1,5,1,0,2,0,4,0,7,2,3,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
British Journal of Educational Studies,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8527,BJES                ,0007-1005    ,1467-8527    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
British Journal of Educational Technology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8535,BJET                ,0007-1013    ,1467-8535    ,12,9,7,19,11,2,1,6,7,5,12,5,2,5,2,3,3,0,0,1,0,0,0,1,2,0,0,0,0,0
British Journal of Haematology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2141,BJH                 ,0007-1048    ,1365-2141    ,293,367,340,221,147,179,128,147,95,101,94,85,91,74,104,76,47,52,27,48,28,22,9,11,9,9,4,7,3,105
British Journal of Health Psychology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2044-8287,BJHP                ,1359-107X    ,2044-8287    ,8,21,7,8,2,11,2,4,6,6,5,3,2,5,2,0,2,2,2,0,1,1,0,0,0,0,0,0,0,0
British Journal of Industrial Relations,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8543,BJIR                ,0007-1080    ,1467-8543    ,26,72,67,12,31,30,13,13,5,20,4,13,12,2,5,2,4,3,2,1,2,1,0,2,1,0,2,1,0,7
