Last Updated,02/10/18,.,WILEY CONFIDENTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiley Online Library Journals List  2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Code used by Wiley ,ISSN,eSSN,Title,Price,2017 Usage,Cost per use,FTE Band (if applicable),Journal DOI,Wiley  Online Library URL,General Subject Category,Primary Subject Area,Media,External notes PRICING,POD availability,Online Open,Included in Database Model,Full Collection,STM Collection,SSH Collection,Medicine & Nursing Collection,Not in any Standard Collections,R4L Collection,INASP Collection,Collection Start year/Start year for Current Sub,Collection Start Volume/Start Vol for current Sub,Current Year Volume,Current Year Issue,Backfile Start Year,Backfile Start Volume,Backfile Start Issue,Backfile End Year,Backfile End Volume,Backfile End Issue,Society Name,2018 Impact Factor,
NARF,0165-0203,1477-8947,NATURAL RESOURCES FORUM,1543,74,$20.85,,10.1111/(ISSN)1477-8947,https://onlinelibrary.wiley.com/journal/14778947,Social & Behavioral Sciences,General & Introductory Development Studies,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,21,43,4,1976,VOL. 1,1,1996,20,4,International Council of  Museums,1.659,
NAU,0733-2467,1520-6777,NEUROUROLOGY AND URODYNAMICS,4260,336,$12.68,,10.1002/(ISSN)1520-6777,https://onlinelibrary.wiley.com/journal/15206777,Medicine,Urology,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1996,15,38,11,1982,VOL. 1,1,1995,14,6,International Continence Society,3.560,
NAV,0894-069X,1520-6750,NAVAL RESEARCH LOGISTICS,3624,190,$19.07,,10.1002/(ISSN)1520-6750,https://onlinelibrary.wiley.com/journal/15206750,Mathematics & Statistics,Applied Probability & Statistics,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,43,66,8,1954,VOL. 1,1,1995,42,8,,0.787,
NAVI,0028-1522,2161-4296,NAVIGATION,306,16,$19.13,,10.1002/(ISSN)2161-4296,https://onlinelibrary.wiley.com/journal/21614296,Physical Sciences & Engineering,Transportation Engineering,Print & Online,,,Yes,Yes,,,,,Not in any Standard Collection,,,1997,59,66,4,1946,,,1996,,,Institute of Navigation (ION),1.604,
NBA,1531-5428,1949-3193,NONPROFIT BUSINESS ADVISOR,3783,10,$378.30,,10.1002/(ISSN)1949-3193,https://onlinelibrary.wiley.com/journal/19493193,"Business, Economics, Finance & Accounting",Non-Profit Organizations / Law,Print & Online,,,No,Yes,Full Collection,,SSH Collection,,,,INASP Collection,2009,2009,2019,12,,,,,,,,,
NBFR,0028-4289,1741-2005,NEW BLACKFRIARS,380,24,$15.83,,10.1111/(ISSN)1741-2005,https://onlinelibrary.wiley.com/journal/17412005,Humanities,Theology,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,78,100,6,1920,VOL. 1,1,1996,77,910,Provincial Council of the English Province of the Order of Preachers,,
NBM,0952-3480,1099-1492,NMR IN BIOMEDICINE,4115,473,$8.70,,10.1002/(ISSN)1099-1492,https://onlinelibrary.wiley.com/journal/10991492,Chemistry,NMR Spectroscopy / MRI / Imaging,Online,E-only title,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1996,9,32,12,1988,VOL. 1,1,1995,8,7,,2.872,
NBU,1471-9827,1467-3010,NUTRITION BULLETIN,1080,113,$9.56,,10.1111/(ISSN)1467-3010,https://onlinelibrary.wiley.com/journal/14673010,"Nursing, Dentistry & Healthcare",Nutrition,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,22,44,4,1968,VOL. 1,1,1996,21,3,British Nutrition Foundation,,
NCMR,1750-4708,1750-4716,NEGOTIATION AND CONFLICT MANAGEMENT RESEARCH,623,55,$11.33,,10.1111/(ISSN)1750-4716,https://onlinelibrary.wiley.com/journal/17504716,Law & Criminology,Negotiation & Conflict Resolution,Online,E-only title,Yes,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,2008,1,12,4,,,,,,,International Association of Conflict Management,0.656,
NCN3,1369-8036,2049-4173,NEUROLOGY AND CLINICAL NEUROSCIENCE  ,629,19,$33.11,FTE-Small,10.1002/(ISSN)2049-4173,https://onlinelibrary.wiley.com/journal/20494173,Medicine,Neurology,Online,E-only title,,Yes,Yes,,,,,Not in any Standard Collection,,,2013,1,7,6,,,,,,,Societas Neurologica Japonica (Japanese Society of Neurology),,
NCP,0884-5336,1941-2452,NUTRITION IN CLINICAL PRACTICE,515,0,#DIV/0!,,10.1002/(ISSN)1941-2452,https://onlinelibrary.wiley.com/journal/19412452,"Nursing, Dentistry & Healthcare",Nutrition & Dietetics General,Print & Online,,,Yes,Yes,,,,,Not in any Standard Collection,,,1986,1,34,6,1986,VOL. 1,1,1996,11,6,American Society for Parenteral and Enteral Nutrition,,
NDI,1446-6368,1747-0080,NUTRITION & DIETETICS,309,70,$4.41,,10.1111/(ISSN)1747-0080,https://onlinelibrary.wiley.com/journal/17470080,"Nursing, Dentistry & Healthcare",Nutrition & Dietetics General,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,2005,62,76,6,,,,,,,Dietitians Association of Australia,1.089,
NEJO,0748-4526,1571-9979,NEGOTIATION JOURNAL,1178,86,$13.70,,10.1111/(ISSN)1571-9979,https://onlinelibrary.wiley.com/journal/15719979,Law & Criminology,Negotiation & Conflict Resolution,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,13,35,4,1985,1,1,1996,12,4,Program on Negotiation at Harvard Law School,0.288,
NEM,1055-7148,1099-1190,INTERNATIONAL JOURNAL OF NETWORK MANAGEMENT,2112,3,$704.00,,10.1002/(ISSN)1099-1190,https://onlinelibrary.wiley.com/journal/10991190,Physical Sciences & Engineering,Communication Technology,Online,E-only title,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,6,29,6,1991,VOL. 1,1-4,1995,5,6,,0.681,
NEP,1320-5358,1440-1797,NEPHROLOGY,1307,284,$4.60,,10.1111/(ISSN)1440-1797,https://onlinelibrary.wiley.com/journal/14401797,Medicine,Nephrology,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,3,24,12,1995,VOL. 1,1,1996,2,6,Asian Pacific Society of Nephrology,1.563,
NER,1094-7159,1525-1403,NEUROMODULATION: TECHNOLOGY AT THE NEURALINTERFACE,691,265,$2.61,,10.1111/(ISSN)1525-1403,https://onlinelibrary.wiley.com/journal/15251403,Medicine,Neurology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1999,2,22,8,,,,,,,International Neuromodulation Society,2.614,
NET,0028-3045,1097-0037,NETWORKS: AN INTERNATIONAL JOURNAL,4153,107,$38.81,,10.1002/(ISSN)1097-0037,https://onlinelibrary.wiley.com/journal/10970037,Mathematics & Statistics,Applied Mathematics,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,27,73-74,8,1971,VOL. 1,1,1995,26,4,,0.943,
NEU,1932-8451,1932-846X,DEVELOPMENTAL NEUROBIOLOGY,10437,201,$51.93,,10.1002/(ISSN)1932-846X,https://onlinelibrary.wiley.com/journal/1932846X,Life Sciences,Neuroscience,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,29,79,12,1969,VOL. 1,1,1995,28,4,,2.972,
NEUP,0919-6544,1440-1789,NEUROPATHOLOGY,1497,143,$10.47,,10.1111/(ISSN)1440-1789,https://onlinelibrary.wiley.com/journal/14401789,Medicine,Pathology,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,17,39,6,1993,13,1,1996,16,4,Japanese Society of Neuropathology,1.784,
NEWE,2573-2323,2573-2331,IPPR PROGRESSIVE REVIEW,1014,3,$338.00,,10.1111/(ISSN)2573-2331,https://onlinelibrary.wiley.com/journal/25732331,Social & Behavioral Sciences,General & Introductory Political Science,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,4,26,4,1994,VOL. 1,1,1996,3,4,Institute of Public Policy Research,,
NHA3,,1939-4225,NEW HORIZONS IN ADULT EDUCATION AND HUMAN RESOURCE DEVELOPMENT  ,1005,12,$83.75,FTE-Small,10.1002/(ISSN)1939-4225,https://onlinelibrary.wiley.com/journal/19394225,"Business, Economics, Finance & Accounting",Training & Development,Online,E-only title,,No,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,11,31,4,1987,1987,1,1996,10,1,,,
NHS,1441-0745,1442-2018,NURSING & HEALTH SCIENCES,1097,101,$10.86,,10.1111/(ISSN)1442-2018,https://onlinelibrary.wiley.com/journal/14422018,"Nursing, Dentistry & Healthcare",Nursing General,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1999,1,21,4,,,,,,,Society for Nursing and Health Sciences at  Yamaguchi University,1.170,
NICC,1362-1017,1478-5153,NURSING IN CRITICAL CARE,838,91,$9.21,,10.1111/(ISSN)1478-5153,https://onlinelibrary.wiley.com/journal/14785153,"Nursing, Dentistry & Healthcare",Nursing General,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,2003,8,24,6,,,,,,,British Association of Critical Care Nurses,1.492,
NIN,1320-7881,1440-1800,NURSING INQUIRY,1040,66,$15.76,,10.1111/(ISSN)1440-1800,https://onlinelibrary.wiley.com/journal/14401800,"Nursing, Dentistry & Healthcare",Nursing General,Online,E-only title,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,4,26,4,1994,VOL. 1,1,1996,3,4,,1.141,
NJB,0107-055X,1756-1051,NORDIC JOURNAL OF BOTANY,916,21,$43.62,,10.1111/(ISSN)1756-1051,https://onlinelibrary.wiley.com/journal/17561051,Life Sciences,Plant Science,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,17,37,12,1981,VOL. 1,1,1996,16,6,Board of the Nordic Journal of Botany,0.847,
NLA,1070-5325,1099-1506,NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS,3029,45,$67.31,,10.1002/(ISSN)1099-1506,https://onlinelibrary.wiley.com/journal/10991506,Mathematics & Statistics,Linear Algebra,Online,E-only title,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,3,26,6,1994,VOL. 1,1,1995,2,6,,1.281,
NME,0029-5981,1097-0207,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,19902,280,$71.08,,10.1002/(ISSN)1097-0207,https://onlinelibrary.wiley.com/journal/10970207,Physical Sciences & Engineering,Computational / Numerical Methods,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,39,117-120,52,1969,VOL. 1,1,1995,38,24,,2.162,
NML,1048-6682,1542-7854,NONPROFIT MANAGEMENT & LEADERSHIP,494,96,$5.15,,10.1002/(ISSN)1542-7854,https://onlinelibrary.wiley.com/journal/15427854,"Business, Economics, Finance & Accounting",Management / Leadership,Print & Online,,,No,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1998,8,30,4,1990,VOL. 1,1,1997,8,2,,1.236,
NMO,1350-1925,1365-2982,NEUROGASTROENTEROLOGY & MOTILITY,3431,358,$9.58,,10.1111/(ISSN)1365-2982,https://onlinelibrary.wiley.com/journal/13652982,Medicine,Gastroenterology & Hepatology,Online,E-only title,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,9,31,12,1989,VOL. 1,1,1996,8,4,European Society of Neurogastroenterology and Motility,3.617,
NOUS,0029-4624,1468-0068,NOûS,#N/A,163,#N/A,,10.1111/(ISSN)1468-0068,https://onlinelibrary.wiley.com/journal/14680068,Humanities,General Philosophy,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,31,53,4,,,,,,,,,
NPC,1542-8419,1542-8427,BRUCE R HOPKINS' NONPROFIT COUNSEL,1064,0,#DIV/0!,,10.1002/(ISSN)1542-8427,https://onlinelibrary.wiley.com/journal/15428427,"Business, Economics, Finance & Accounting",Non-Profit Organizations / Law,Print & Online,,,No,Yes,Full Collection,,SSH Collection,,,,INASP Collection,2003,20,36,12,,,,,,,,,
NPCR,1549-778X,2325-8616,NONPROFIT COMMUNICATIONS REPORT,2141,24,$89.21,,10.1002/(ISSN)2325-8616,https://onlinelibrary.wiley.com/journal/23258616,"Business, Economics, Finance & Accounting",Non-Profit Organizations / Marketing & Communications,Online,E-only title,,No,Yes,Full Collection,,SSH Collection,,,,INASP Collection,2003,1,17,12,,,,,,,,,
NPH,0028-646X,1469-8137,NEW PHYTOLOGIST,4844,7551,$0.64,,10.1111/(ISSN)1469-8137,https://nph.onlinelibrary.wiley.com/journal/14698137,Life Sciences,Plant Science,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,135,221-224,16,,,,,,,New Phytologist Trust,6.373,
NPQU,0893-7850,1540-5842,NEW PERSPECTIVES QUARTERLY,652,53,$12.30,,10.1111/(ISSN)1540-5842,https://onlinelibrary.wiley.com/journal/15405842,Social & Behavioral Sciences,General & Introductory Political Science,Print & Online,,,No,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1999,16,36,4,,,,,,,Center for the Study of Democratic Institutions,,
NRM,0890-8575,1939-7445,NATURAL RESOURCE MODELING,775,58,$13.36,,10.1111/(ISSN)1939-7445,https://onlinelibrary.wiley.com/journal/19397445,Mathematics & Statistics,Applied Mathematics in Science,Online,E-only title,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1999,12,32,4,,,,,,,Resource Modeling Association,0.426,
NSG,1569-4445,1873-0604,NEAR SURFACE GEOPHYSICS,782,0,#DIV/0!,,10.1002/(ISSN)1873-0604,https://onlinelibrary.wiley.com/journal/18730604,"Earth, Space & Environmental Sciences",Geophysics,Print & Online,2019 Takeover ,,Yes,Yes,,,,,Not in any Standard Collection,,,2003,1,17,6,,,,,,,European Association of Geoscientists & Engineers,,
NSR,2155-644X,2155-6458,RECRUITING & RETAINING ADULT LEARNERS,4049,0,#DIV/0!,,10.1002/(ISSN)2155-6458,https://onlinelibrary.wiley.com/journal/21556458,Social & Behavioral Sciences,Higher Education General,Print & Online,,,No,Yes,Full Collection,,SSH Collection,,,,INASP Collection,2008,10,21,12,,,,,,,,,
NTLF,1057-2880,2166-3327,THE NATIONAL TEACHING & LEARNING FORUM,711,14,$50.79,,10.1002/(ISSN)2166-3327,https://onlinelibrary.wiley.com/journal/21663327,Social & Behavioral Sciences,Teaching & Learning (Higher Education),Print & Online,,,No,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,6,28,6,1991,VOL 1,1,1996,6,1,,,
NTWE,0268-1072,1468-005X,"NEW TECHNOLOGY, WORK AND EMPLOYMENT",1017,62,$16.40,,10.1111/(ISSN)1468-005X,https://onlinelibrary.wiley.com/journal/1468005X,"Business, Economics, Finance & Accounting",Business Technology,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,12,34,3,1986,VOL. 1,1,1996,11,2,Brian Towers,1.281,
NUF,0029-6473,1744-6198,NURSING FORUM,355,86,$4.13,,10.1111/(ISSN)1744-6198,https://onlinelibrary.wiley.com/journal/17446198,"Nursing, Dentistry & Healthcare",Nursing General,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,32,54,4,1961,VOL. 1,1,1996,31,4,,,
NUM,0749-159X,1098-2426,NUMERICAL METHODS FOR PARTIAL DIFFERENTIAL EQUATIONS,4295,41,$104.76,,10.1002/(ISSN)1098-2426,https://onlinelibrary.wiley.com/journal/10982426,Mathematics & Statistics,Differential Equations,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,12,35,6,1985,VOL. 1,1,1995,11,6,,1.079,
NUP,1466-7681,1466-769X,NURSING PHILOSOPHY,811,107,$7.58,,10.1111/(ISSN)1466-769X,https://onlinelibrary.wiley.com/journal/1466769X,"Nursing, Dentistry & Healthcare",Nursing General,Online,E-only title,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,2000,1,20,4,,,,,,,,1.250,
NUR,0160-6891,1098-240X,RESEARCH IN NURSING & HEALTH,2378,113,$21.04,,10.1002/(ISSN)1098-240X,https://onlinelibrary.wiley.com/journal/1098240X,"Nursing, Dentistry & Healthcare",Nursing General,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1996,19,42,6,1978,VOL. 1,1,1995,18,6,,1.693,
NVSM,1465-4520,1479-103X,INTERNATIONAL JOURNAL OF NONPROFIT AND VOLUNTARY SECTOR  MARKETING,944,45,$20.98,,10.1002/(ISSN)1479-103X,https://onlinelibrary.wiley.com/journal/1479103X,"Business, Economics, Finance & Accounting",Non-Profit Organizations / Marketing & Communications,Online,E-only title,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1996,1,24,4,,,,,,,,,
NYAS,0077-8923,1749-6632,ANNALS OF THE NEW YORK ACADEMY OF SCIENCES,7504,4212,$1.78,,10.1111/(ISSN)1749-6632,https://nyaspubs.onlinelibrary.wiley.com/journal/17496632,Life Sciences,General & Introductory Life Sciences,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1997,807,1435-1458,24,1824,VOL. 1,1,1996,806,1,New York Academy of Sciences,4.706,
NZG,0028-8144,1745-7939,NEW ZEALAND GEOGRAPHER,461,19,$24.26,,10.1111/(ISSN)1745-7939a,https://onlinelibrary.wiley.com/journal/17457939a,Social & Behavioral Sciences,General & Introductory Geography,Online,E-only title,Yes,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,53,75,3,1945,VOL. 1,1,1996,52,2,New Zealand Geographical Society,0.455,
OA,1047-482X,1099-1212,INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY,2282,113,$20.19,,10.1002/(ISSN)1099-1212,https://onlinelibrary.wiley.com/journal/10991212,Social & Behavioral Sciences,Biological Anthropology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,6,29,6,1991,VOL. 1,1,1995,5,4,,1.038,
OBES,0305-9049,1468-0084,OXFORD BULLETIN OF ECONOMICS & STATISTICS,1303,0,#DIV/0!,,10.1111/(ISSN)1468-0084,https://onlinelibrary.wiley.com/journal/14680084,"Business, Economics, Finance & Accounting",General & Introductory Economics,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,59,81,6,1939,VOL. 1,1,1996,58,4,University of Oxford,1.138,
OBR,1467-7881,1467-789X,OBESITY REVIEWS,1286,1021,$1.26,,10.1111/(ISSN)1467-789X,https://onlinelibrary.wiley.com/journal/1467789X,Medicine,Obesity,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,2000,1,20,12,,,,,,,World Obesity,7.883,
OBY,1930-7381,1930-739X,OBESITY,843,504,$1.67,,10.1002/(ISSN)1930-739X,https://onlinelibrary.wiley.com/journal/1930739X,Medicine,Obesity,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1993,1,27,14,,,,,,,The Obesity Society,3.873,
OCA,0143-2087,1099-1514,OPTIMAL CONTROL APPLICATIONS AND METHODS,6185,30,$206.17,,10.1002/(ISSN)1099-1514,https://onlinelibrary.wiley.com/journal/10991514,Physical Sciences & Engineering,Control Systems Technology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,1996,17,40,6,1980,VOL. 1,1,1995,16,1-4,,1.558,
OCEA,0029-8077,1834-4461,OCEANIA,345,8,$43.13,,10.1002/(ISSN)1834-4461,https://onlinelibrary.wiley.com/journal/18344461,Social & Behavioral Sciences,General & Introductory Anthropology,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,2007,77,89,3,1930,1,1,1996,,,Oceania Publications (OP),0.551,
OCR,1601-6335,1601-6343,ORTHODONTICS & CRANIOFACIAL RESEARCH,833,2,$416.50,,10.1111/(ISSN)1601-6343,https://onlinelibrary.wiley.com/journal/16016343,"Nursing, Dentistry & Healthcare",Orthodontics,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,2000,3,22,4,,,,,,,,1.115,
ODI,1354-523X,1601-0825,ORAL DISEASES,1772,158,$11.22,,10.1111/(ISSN)1601-0825,https://onlinelibrary.wiley.com/journal/16010825,"Nursing, Dentistry & Healthcare",Oral Sciences & Technology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,3,25,8,1995,VOL. 1,1,1996,2,4,,2.011,
OET,0950-1045,1744-7992,OIL AND ENERGY TRENDS,6412,16,$400.75,,10.1111/(ISSN)1744-7992,https://onlinelibrary.wiley.com/journal/17447992,"Business, Economics, Finance & Accounting",Oil & Energy Economics,Print & Online,,,No,Yes,Full Collection,STM Collection,,,,,INASP Collection,2005,30,44,12,,,,,,,,,
OETS,0953-1033,1746-9066,OIL AND ENERGY TRENDS: ANNUAL STATISTICAL REVIEW,2410,9,$267.78,,10.1111/(ISSN)1746-9066,https://onlinelibrary.wiley.com/journal/17469066,"Business, Economics, Finance & Accounting",Oil & Energy Economics,Print & Online,,,No,Yes,Full Collection,STM Collection,,,,,INASP Collection,2012,33,40,1,,,,,,,,,
OIK,0030-1299,1600-0706,OIKOS,2353,1236,$1.90,,10.1111/(ISSN)1600-0706,https://onlinelibrary.wiley.com/journal/16000706,Life Sciences,Ecology & Organismal Biology,Online,E-only title,Yes,Yes,Yes,Full Collection,STM Collection,,,,,INASP Collection,2000,88,128,12,,,,,,,Nordic Society OIKOS,4.030,
OJOA,0262-5253,1468-0092,OXFORD JOURNAL OF ARCHAEOLOGY,1657,137,$12.09,,10.1111/(ISSN)1468-0092,https://onlinelibrary.wiley.com/journal/14680092,Social & Behavioral Sciences,General & Introductory Archaeology,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,16,38,4,1982,VOL. 1,1,1996,15,3,,,
OLI,0105-7510,1600-0730,ORBIS LITTERARUM,1009,31,$32.55,,10.1111/(ISSN)1600-0730,https://onlinelibrary.wiley.com/journal/16000730,Humanities,General Literature,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,52,74,6,1943,VOL. 1,1,1996,51,6,,,
OMI,2041-1006,2041-1014,MOLECULAR ORAL MICROBIOLOGY,1374,47,$29.23,,10.1111/(ISSN)2041-1014,https://onlinelibrary.wiley.com/journal/1399302X,"Nursing, Dentistry & Healthcare",Oral Biology,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,12,34,6,1986,VOL. 1,1,1996,11,6,,2.908,
ONCO,1083-7159,1549-490X,THE ONCOLOGIST,711,0,#DIV/0!,FTE SMALL,10.1002/(ISSN)1549-490X,https://onlinelibrary.wiley.com/journal/1549490X,Chemistry,General & Introductory Chemistry,Print & Online,2018 Takeover,,No,Yes,,,,,Not in any Standard Collection,R4L Collection,,1996,1,23,12,,,,,,,AlphaMed Press,,
OPEC,1753-0229,1753-0237,OPEC ENERGY REVIEW,1029,6,$171.50,,10.1111/(ISSN)1753-0237,https://onlinelibrary.wiley.com/journal/17530237,"Business, Economics, Finance & Accounting",Oil & Energy Economics,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,21,43,4,1976,VOL. 1,1,1996,20,4,Organization of the Petroleum Exporting Countries,,
OPFL,0149-8029,1551-8701,OPFLOW,199,0,#DIV/0!,,10.1002/(ISSN)1551-8701,https://onlinelibrary.wiley.com/journal/15518701,Physical Sciences & Engineering,Water Resources,Print & Online,,,No,Yes,,,,,Not in any Standard Collection,,,1997,23,45,12,,,,,,,American Water Works Association,,
OPN,1748-3735,1748-3743,INTERNATIONAL JOURNAL OF OLDER PEOPLE NURSING,660,31,$21.29,,10.1111/(ISSN)1748-3743,https://onlinelibrary.wiley.com/journal/17483743,"Nursing, Dentistry & Healthcare",Nursing General,Online,E-only title,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,2006,1,14,4,,,,,,,,,
OPO,0275-5408,1475-1313,OPHTHALMIC AND PHYSIOLOGICAL OPTICS,2218,74,$29.97,,10.1111/(ISSN)1475-1313,https://onlinelibrary.wiley.com/journal/14751313,Medicine,Vision Sciences,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,16,39,6,1981,VOL. 1,1,1996,15,6,College of Optometrists,2.302,
ORS,1752-2471,1752-248X,ORAL SURGERY,782,7,$111.71,,10.1111/(ISSN)1752-248X,https://onlinelibrary.wiley.com/journal/1752248X,"Nursing, Dentistry & Healthcare",Oral & Maxillofacial Surgery,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,2008,1,12,4,,,,,,,British Association of Oral Surgeons,,
PA,1472-3891,1479-1854,JOURNAL OF PUBLIC AFFAIRS,726,45,$16.13,,10.1002/(ISSN)1479-1854,https://onlinelibrary.wiley.com/journal/14791854,"Business, Economics, Finance & Accounting",General & Introductory Business & Management,Online,E-only title,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,2001,1,19,4,,,,,,,,,
PACE,0147-8389,1540-8159,PACING AND CLINICAL ELECTROPHYSIOLOGY,1450,440,$3.30,,10.1111/(ISSN)1540-8159,https://onlinelibrary.wiley.com/journal/15408159,Medicine,Cardiovascular Disease,Print & Online,,,Yes,Yes,Full Collection,STM Collection,,Medicine & Nursing Collection,,,INASP Collection,1997,20,42,12,1978,VOL. 1,1,1996,19,12,,1.486,
PAD,0271-2075,1099-162X,PUBLIC ADMINISTRATION AND DEVELOPMENT,2275,62,$36.69,,10.1002/(ISSN)1099-162X,https://onlinelibrary.wiley.com/journal/1099162X,Social & Behavioral Sciences,General & Introductory Development Studies,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1996,16,39,5,1981,VOL. 1,1,1995,15,5,,0.860,
PADM,0033-3298,1467-9299,PUBLIC ADMINISTRATION,1989,206,$9.66,,10.1111/(ISSN)1467-9299,https://onlinelibrary.wiley.com/journal/14679299,Social & Behavioral Sciences,General & Introductory Political Science,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,75,97,4,1923,VOL. 1,1,1996,74,4,,2.959,
PADR,0098-7921,1728-4457,POPULATION AND DEVELOPMENT REVIEW,249,460,$0.54,,10.1111/(ISSN)1728-4457,https://onlinelibrary.wiley.com/journal/17284457,Social & Behavioral Sciences,Population & Demography,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1999,25,45,4,,,,,,,Population Council,2.792,
PAER,1361-374X,1468-0106,PACIFIC ECONOMIC REVIEW,897,32,$28.03,,10.1111/(ISSN)1468-0106,https://onlinelibrary.wiley.com/journal/14680106,"Business, Economics, Finance & Accounting",General & Introductory Economics,Print & Online,,,Yes,Yes,Full Collection,,SSH Collection,,,,INASP Collection,1997,2,24,5,1996,VOL. 1,1,1996,1,3,Hong Kong Economic Association,0.647,
