Journal Report 5 (R4),Number of Successful Full-Text Article Requests by Year-of-Publication (YOP) and Journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period covered by Report:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01 to 2016-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date run:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal,Publisher,Platform,Journal DOI,Proprietary Identifier,Print ISSN,Online ISSN,Articles In Press   ,YOP 2016            ,YOP 2015            ,YOP 2014            ,YOP 2013            ,YOP 2012            ,YOP 2011            ,YOP 2010            ,YOP 2009            ,YOP 2008            ,YOP 2007            ,YOP 2006            ,YOP 2005            ,YOP 2004            ,YOP 2003            ,YOP 2002            ,YOP 2001            ,YOP 2000            ,YOP 1999            ,YOP 1998            ,YOP 1997            ,YOP 1996            ,YOP 1995            ,YOP 1994            ,YOP 1993            ,YOP 1992            ,YOP 1991            ,YOP 1990            ,YOP Pre 1990        
Australian Journal of Agricultural and Resource Economics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8489,AJAR                ,1364-985X    ,1467-8489    ,0,44,13,8,8,5,3,4,2,12,4,5,1,0,2,1,0,2,2,3,6,0,0,0,0,0,0,0,0
Australian Journal of Earth Sciences,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-0952,AES                 ,0812-0099    ,1440-0952    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Australian Journal of Ecology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1442-9993a,AEC                 ,0307-692X    ,1442-9993    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0
Australian Journal of Entomology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-6055,AEN                 ,1326-6756    ,1440-6055    ,0,0,0,0,4,3,2,5,0,0,2,2,0,0,0,1,0,3,1,0,2,0,1,0,1,0,1,1,15
Australian Journal of Grape and Wine Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-0238,AJGW                ,1322-7130    ,1755-0238    ,0,76,104,61,33,36,81,34,30,21,21,59,51,15,9,13,11,21,3,21,5,5,11,0,0,0,0,0,0
Australian Journal of Opthalmology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1442-9071a,CEO                 ,0310-1177    ,1442-9071    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Australian Journal of Politics & History,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8497,AJPH                ,0004-9522    ,1467-8497    ,0,0,12,0,0,15,0,3,0,1,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
Australian Journal of Psychology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1742-9536,AJPY                ,0004-9530    ,1742-9536    ,5,4,3,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Australian Journal of Public Administration,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8500,AUPA                ,0313-6647    ,1467-8500    ,0,6,4,1,3,1,2,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1
Australian Journal of Public Health,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1753-6405a,AZPH                ,1035-7319    ,1753-6405    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0
Australian Journal of Rural Health,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1584,AJR                 ,1038-5282    ,1440-1584    ,1,4,0,1,3,0,1,0,0,2,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Australian Journal of Statistics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-842Xa,ANZS                ,0004-9581    ,1467-842X    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4
Australian Journal on Ageing,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1741-6612a,AJAG                ,0726-4240    ,1741-6612    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Australian Occupational Therapy Journal,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1630,AOT                 ,0045-0766    ,1440-1630    ,0,4,1,2,3,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australian Psychologist,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1742-9544,AP                  ,0005-0067    ,1742-9544    ,3,8,7,0,4,2,3,0,0,0,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Australian Veterinary Journal,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1751-0813,AVJ                 ,0005-0423    ,1751-0813    ,0,168,81,72,40,31,45,39,22,36,20,38,31,54,25,47,31,35,50,30,36,19,8,12,5,4,10,10,117
Australian and New Zealand Journal of Family Therapy,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1467-8438,ANZF                ,0814-723X    ,1467-8438    ,0,3,1,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Australian and New Zealand Journal of Medicine,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1445-5994a,IMJ                 ,0004-8291    ,1445-5994    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,4
Australian and New Zealand Journal of Mental Health Nursing,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-0979,INM                 ,1324-3780    ,1440-0979    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Australian and New Zealand Journal of Obstetrics and Gynaecology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1479-828X,AJO                 ,0004-8666    ,1479-828X    ,0,23,37,12,10,3,7,8,3,1,10,5,4,4,11,3,2,11,1,2,0,1,1,3,4,3,12,5,25
Australian and New Zealand Journal of Ophthalmology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1606,CEO                 ,0814-9763    ,1440-1606    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,0,0,1,3,1,2
Australian and New Zealand Journal of Psychiatry,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1614,ANP                 ,0004-8674    ,1440-1614    ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
Australian and New Zealand Journal of Public Health,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1753-6405,AZPH                ,1326-0200    ,1753-6405    ,0,23,11,11,3,3,26,2,1,9,28,0,0,5,2,1,9,6,10,2,0,0,0,0,0,0,0,0,0
Australian and New Zealand Journal of Surgery,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1445-2197a,ANS                 ,0004-8682    ,1445-2197    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,2,2,2,0,2,5,1,22
AWHONN Lifelines,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1552-6356,LIFE                ,1091-5923    ,1552-6356    ,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autism Research,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1939-3806,AUR                 ,1939-3792    ,1939-3806    ,0,85,36,12,26,15,3,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomic and Autacoid Pharmacology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1474-8673,AAP                 ,1474-8665    ,1474-8673    ,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basic & Clinical Pharmacology & Toxicology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1742-7843,BCPT                ,1742-7835    ,1742-7843    ,2,36,21,15,10,6,9,14,2,7,2,10,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basic and Applied Pathology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-9294,BAAP                ,1755-9294    ,1755-9294    ,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basin Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2117,BRE                 ,0950-091X    ,1365-2117    ,9,6,6,12,2,0,0,3,0,1,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bauphysik,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1437-0980,BAPI                ,0171-5445    ,1437-0980    ,0,5,2,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bautechnik,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1437-0999,BATE                ,0932-8351    ,1437-0999    ,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Behavioral Interventions,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-078X,BIN                 ,1072-0847    ,1099-078X    ,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Behavioral Sciences & the Law,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0798,BSL                 ,0735-3936    ,1099-0798    ,0,10,10,1,21,4,4,5,3,2,3,4,10,7,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0
Bell Labs Technical Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1538-7305,BLTJ                ,1089-7089    ,1538-7305    ,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Berichte der Bunsengesellschaft fÃ¼r physikalische Chemie,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)0005-9021e,BBPC                ,0005-9021    ,0005-9021    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Berichte der Deutschen Botanischen Gesellschaft,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1438-8677c,PLB                 ,0365-9631    ,1438-8677    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Berichte der deutschen chemischen Gesellschaft,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0682b,CBER                ,0365-9496    ,1099-0682    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Berichte der deutschen chemischen Gesellschaft (A and B Series),John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0682a,CBER                ,0365-9488    ,1099-0682    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Berichte zur Wissenschaftsgeschichte,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1522-2365,BEWI                ,0170-6233    ,1522-2365    ,0,3,6,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Berliner entomologische Zeitschrift,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1860-1324a,MMND                ,0323-6145    ,1860-1324    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Beton- und Stahlbetonbau,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1437-1006,BEST                ,0005-9900    ,1437-1006    ,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BioEssays,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-1878,BIES                ,0265-9247    ,1521-1878    ,0,360,180,106,80,41,36,55,64,29,30,33,25,22,32,32,13,28,7,9,17,9,21,16,7,16,8,3,13
BioFactors,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1872-8081,BIOF                ,0951-6433    ,1872-8081    ,1,28,7,8,21,14,7,9,15,9,0,4,7,8,7,0,7,3,0,5,1,0,0,0,0,0,0,0,0
Biochemical Education,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1879-1468,BMB                 ,0307-4412    ,1879-1468    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,11,5,13,10,6,7,11,16,15,125
Biochemistry and Molecular Biology Education,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1539-3429,BMB                 ,1470-8175    ,1539-3429    ,0,36,28,14,11,16,38,13,54,11,26,17,29,11,26,25,0,0,0,0,0,0,0,0,0,0,0,0,0
Bioelectromagnetics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-186X,BEM                 ,0197-8462    ,1521-186X    ,0,25,2,1,1,3,13,0,3,3,0,0,2,0,1,1,1,1,0,2,1,0,1,0,0,2,0,0,4
Bioengineering & Translational Medicine,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2380-6761,BTM2                ,2380-6761    ,2380-6761    ,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bioethics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8519,BIOE                ,0269-9702    ,1467-8519    ,0,57,42,13,16,10,9,10,7,6,9,5,9,17,0,3,6,4,2,0,2,1,0,4,3,1,0,1,2
"Biofuels, Bioproducts and Biorefining",John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1932-1031,BBB                 ,1932-104X    ,1932-1031    ,0,34,23,22,9,5,22,6,7,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bioimaging,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1361-6374,BIO                 ,0966-9051    ,1361-6374    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
Biological Journal of the Linnean Society,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1095-8312,BIJ                 ,0024-4066    ,1095-8312    ,62,170,49,40,29,40,21,41,12,28,22,30,26,25,26,4,3,6,13,3,4,10,2,0,4,8,10,2,50
Biological Reviews,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1469-185X,BRV                 ,1464-7931    ,1469-185X    ,6,74,127,53,97,49,28,43,26,15,39,14,9,3,4,1,9,2,3,0,7,5,10,10,1,8,3,2,91
Biologie in unserer Zeit,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-415X,BIUZ                ,0045-205X    ,1521-415X    ,0,7,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Biology of the Cell,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1768-322X,BOC                 ,0248-4900    ,1768-322X    ,0,34,13,10,12,14,8,11,22,13,11,12,7,6,8,3,0,2,2,0,7,0,1,3,1,1,7,3,9
Biomedical Chromatography,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0801,BMC                 ,0269-3879    ,1099-0801    ,0,17,7,10,2,12,7,9,21,7,11,5,3,6,0,2,1,2,0,0,0,0,1,0,0,0,0,2,7
Biometrical Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-4036,BIMJ                ,0323-3847    ,1521-4036    ,0,11,8,15,5,2,8,3,3,8,2,3,7,0,2,3,0,1,1,0,1,2,0,0,0,0,0,0,0
Biometrics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1541-0420,BIOM                ,0006-341X    ,1541-0420    ,0,90,63,29,13,41,22,5,8,18,20,19,15,12,4,8,11,11,12,0,0,0,0,0,0,0,0,0,0
Biopharmaceutics & Drug Disposition,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-081X,BDD                 ,0142-2782    ,1099-081X    ,0,8,3,2,7,2,0,0,3,2,2,3,0,5,0,1,0,0,0,0,0,0,2,1,1,0,2,2,16
Biopolymers,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0282,BIP                 ,0006-3525    ,1097-0282    ,0,78,21,15,36,8,46,13,11,22,11,4,6,17,9,19,24,11,3,12,3,5,7,4,13,3,10,13,127
Biospectroscopy,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6343,BSPY                ,1075-4261    ,1520-6343    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0
Biotechnology Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1860-7314,BIOT                ,1860-6768    ,1860-7314    ,1,116,148,39,88,50,19,14,20,18,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biotechnology Progress,John Wiley and Sons,Wiley Online Library,10.1021/(ISSN)1520-6033,BTPR                ,8756-7938    ,1520-6033    ,0,91,32,16,32,24,21,33,19,33,21,45,55,36,37,15,16,12,23,25,15,8,0,0,0,0,0,0,0
Biotechnology and Applied Biochemistry,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1470-8744,BAB                 ,0885-4513    ,1470-8744    ,13,8,7,15,8,1,0,4,6,0,10,7,6,20,16,2,2,5,3,3,7,0,0,0,0,0,0,0,0
Biotechnology and Bioengineering,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0290,BIT                 ,0006-3592    ,1097-0290    ,0,348,134,184,192,122,86,63,66,57,47,27,59,33,25,24,32,18,17,8,20,24,18,15,19,10,12,23,202
BJOG: An International Journal of Obstetrics & Gynaecology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1471-0528,BJO                 ,1470-0328    ,1471-0528    ,9,235,114,70,46,30,30,30,42,33,44,23,30,29,13,24,11,22,10,22,15,9,9,9,6,7,9,2,94
BJS,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1365-2168,BJS                 ,0007-1323    ,1365-2168    ,6,171,44,61,27,62,29,34,33,15,29,20,14,32,22,22,7,10,3,10,17,11,17,8,6,5,13,11,155
BJU International,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1464-410X,BJU                 ,1464-4096    ,1464-410X    ,7,193,143,94,127,132,90,64,49,71,78,65,52,43,37,24,20,35,18,0,0,0,0,0,0,0,0,0,0
Biotropica,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1744-7429,BTP                 ,0006-3606    ,1744-7429    ,0,59,16,10,14,8,13,17,25,10,15,5,9,3,4,3,2,2,3,1,5,0,0,0,0,0,0,0,0
Bipolar Disorders,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1399-5618,BDI                 ,1398-5647    ,1399-5618    ,0,72,43,23,6,7,8,12,35,10,18,15,7,15,14,7,14,6,2,0,0,0,0,0,0,0,0,0,0
Birth,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1523-536X,BIRT                ,0730-7659    ,1523-536X    ,0,23,11,6,5,5,2,8,11,5,12,4,0,7,1,8,4,2,0,0,1,0,0,2,1,1,0,0,5
Birth Defects Research Part A: Clinical and Molecular Teratology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1542-0760,BDRA                ,1542-0752    ,1542-0760    ,0,32,33,23,6,20,12,44,31,6,17,21,16,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birth Defects Research Part B: Developmental and Reproductive Toxicology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1542-9741,BDRB                ,1542-9733    ,1542-9741    ,0,9,0,3,2,5,7,2,5,12,17,7,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birth Defects Research Part C: Embryo Today: Reviews,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1542-9768,BDRC                ,1542-975X    ,1542-9768    ,0,10,17,29,14,11,1,7,9,7,13,4,2,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Board & Administrator for Administrators Only,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1949-3215,BAN                 ,1525-7878    ,1949-3215    ,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Board Leadership,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1542-7862,BL                  ,1061-4249    ,1542-7862    ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bodenkunde und PflanzenernÃ¤hrung,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1522-2624c,JPLN                ,0366-2136    ,1522-2624    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Boreas,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1502-3885,BOR                 ,0300-9483    ,1502-3885    ,0,22,0,5,0,0,3,0,2,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Botanica Acta,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1438-8677b,PLB                 ,0932-8629    ,1438-8677    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Botanical Journal of the Linnean Society,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1095-8339,BOJ                 ,0024-4074    ,1095-8339    ,13,151,40,42,17,14,4,8,36,2,4,10,5,10,8,7,3,5,1,4,0,2,1,0,1,5,5,3,40
Brain Pathology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1750-3639,BPA                 ,1015-6305    ,1750-3639    ,8,70,59,23,27,10,19,8,14,3,10,3,2,8,4,14,1,5,9,4,1,5,3,9,1,3,0,0,0
Brain and Behavior,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2157-9032,BRB3                ,2162-3279    ,2162-3279    ,0,23,24,4,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Briefings in Real Estate Finance,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1555-0990,BREF                ,1473-1894    ,1555-0990    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
British Educational Research Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1469-3518,BERJ                ,0141-1926    ,1469-3518    ,0,5,5,4,1,0,1,0,0,1,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
British Journal of Addiction,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1360-0443a,ADD                 ,0952-0481    ,1360-0443    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,14
British Journal of Addiction to Alcohol & Other Drugs,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1360-0443b,ADD                 ,0007-0890    ,1360-0443    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
British Journal of Clinical Pharmacology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2125,BCP                 ,0306-5251    ,1365-2125    ,0,170,55,22,37,5,6,8,4,8,8,4,2,7,1,13,6,4,3,0,3,5,10,2,1,1,0,1,29
British Journal of Clinical Psychology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2044-8260,BJC                 ,0144-6657    ,2044-8260    ,0,15,4,0,1,3,0,1,1,2,0,3,1,12,0,2,0,0,6,0,1,4,1,0,0,8,0,0,0
British Journal of Dermatology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2133,BJD                 ,0007-0963    ,1365-2133    ,30,248,112,63,83,75,51,44,26,29,49,37,50,26,27,26,32,52,16,15,8,6,16,9,14,9,2,6,71
British Journal of Developmental Psychology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2044-835X,BJDP                ,0261-510X    ,2044-835X    ,0,17,14,2,5,1,3,6,8,1,2,5,2,2,4,0,1,1,7,1,2,0,0,0,0,0,0,0,0
British Journal of Educational Psychology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2044-8279,BJEP                ,0007-0998    ,2044-8279    ,0,9,6,3,2,0,10,0,2,3,5,2,8,2,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
British Journal of Educational Studies,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8527,BJES                ,0007-1005    ,1467-8527    ,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
British Journal of Educational Technology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8535,BJET                ,0007-1013    ,1467-8535    ,8,18,25,5,6,12,21,13,18,10,12,0,5,2,1,3,0,0,1,0,2,0,0,0,3,0,0,0,0
British Journal of Haematology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2141,BJH                 ,0007-1048    ,1365-2141    ,49,430,251,150,136,107,69,69,67,102,72,79,59,64,71,35,85,40,35,30,25,15,8,8,7,10,11,7,90
British Journal of Health Psychology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2044-8287,BJHP                ,1359-107X    ,2044-8287    ,0,17,13,2,16,11,6,8,8,5,0,1,3,2,2,1,0,0,4,0,1,1,0,0,0,0,0,0,0
British Journal of Industrial Relations,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8543,BJIR                ,0007-1080    ,1467-8543    ,3,45,59,39,29,33,11,14,16,8,14,11,5,9,5,13,3,2,1,0,1,0,8,0,0,0,4,0,8
British Journal of Learning Disabilities,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-3156,BLD                 ,1354-4187    ,1468-3156    ,0,1,2,0,0,0,0,3,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
British Journal of Management,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8551,BJOM                ,1045-3172    ,1467-8551    ,1,14,6,9,8,0,4,1,1,8,3,1,2,1,0,1,0,5,0,0,0,0,4,2,0,0,0,0,0
British Journal of Mathematical and Statistical Psychology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2044-8317,BMSP                ,0007-1102    ,2044-8317    ,0,5,1,6,3,0,0,18,1,1,0,5,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
British Journal of Medical Psychology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2044-8341a,PAPT                ,0007-1129    ,2044-8341    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,4
British Journal of Pharmacology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1476-5381,BPH                 ,0007-1188    ,1476-5381    ,15,196,109,91,60,79,40,34,59,54,26,74,14,20,14,27,10,35,6,13,10,8,4,8,5,4,4,1,43
British Journal of Pharmacology and Chemotherapy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1476-5381a,BPH                 ,0366-0826    ,1476-5381    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
