Journal Report 1 (R4),Number of Successful Full-Text Article Requests by Month and Journal,,,,,,,,,,,,,,,,,,,,
Cornell University,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Period covered by Report:,,,,,,,,,,,,,,,,,,,,,
2016-01-01 to 2016-12-31,,,,,,,,,,,,,,,,,,,,,
Date run:,,,,,,,,,,,,,,,,,,,,,
9/14/18,,,,,,,,,,,,,,,,,,,,,
Journal,Publisher,Platform,Journal DOI,Proprietary Identifier,Print ISSN,Online ISSN,Reporting Period Total,Reporting Period HTML,Reporting Period PDF,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16
Business and Society Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8594,BASR,0045-3609,1467-8594,81,53,28,3,3,7,3,5,0,1,9,7,14,25,4
Business Archives and History,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8446a,AEHR,0818-3023,1467-8446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business Change and Re-engineering,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0828,BCR,0969-3866,1099-0828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business Ethics: A European Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8608,BEER,0962-8770,1467-8608,30,15,15,1,1,1,1,1,3,2,0,6,7,3,4
BUSINESS STRATEGY & DEVELOPMENT,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2572-3170,BSD2,2572-3170,2572-3170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business Strategy and the Environment,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0836,BSE,0964-4733,1099-0836,80,36,44,0,1,7,2,11,2,5,5,33,7,1,6
Business Strategy Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8616,BUSR,0955-6419,1467-8616,8,0,8,1,0,0,1,1,1,0,1,2,1,0,0
CA: A Cancer Journal for Clinicians,John Wiley and Sons,Wiley Online Library,10.3322/(ISSN)1542-4863,CAAC,0007-9235,1542-4863,1058,567,491,74,105,123,104,82,54,101,99,85,93,72,66
Campus Legal Advisor,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1945-6239,CALA,1531-3999,1945-6239,7,5,2,0,0,1,0,0,1,0,0,0,1,4,0
Campus Security Report,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1945-6247,CASR,1551-2800,1945-6247,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Canadian Accounting Perspectives,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1911-3838a,APR,1499-8653,1911-3838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences de l'Administration,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1936-4490,CJAS,0825-0383,1936-4490,32,5,27,1,1,0,0,9,1,1,2,4,9,3,1
Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1744-7976,CJAG,0008-3976,1744-7976,111,49,62,9,10,11,13,4,5,4,7,15,12,18,3
Canadian Journal of Economics/Revue canadienne d'Ã©conomique,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-5982,CAJE,0008-4085,1540-5982,97,43,54,6,7,4,10,13,2,5,6,9,10,9,16
Canadian Journal of Statistics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1708-945X,CJS,0319-5724,1708-945X,28,2,26,0,5,6,1,3,0,4,0,4,2,0,3
Canadian Public Administration,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1754-7121,CAPA,0008-4840,1754-7121,17,8,9,1,3,2,1,1,0,0,0,2,1,5,1
Canadian Review of Sociology/Revue canadienne de sociologie,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-618X,CARS,1755-6171,1755-618X,22,3,19,0,1,1,3,3,0,0,5,1,1,6,1
Cancer,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0142,CNCR,0008-543X,1097-0142,3211,1191,2020,239,204,281,326,275,224,270,345,278,310,260,199
Cancer Cytopathology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0142a,CNCY,0008-543X,1097-0142,105,53,52,5,9,16,10,6,6,13,9,5,5,3,18
Cancer Cytopathology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1934-6638,CNCY,1934-662X,1934-6638,481,190,291,46,29,31,38,27,20,19,50,56,48,12,105
Cancer Medicine,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2045-7634,CAM4,2045-7634,2045-7634,175,71,104,13,18,12,11,11,16,18,19,11,18,14,14
Cancer Practice,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1523-5394,CPRA,1065-4704,1523-5394,5,3,2,1,1,0,2,0,0,1,0,0,0,0,0
CANCER REPORTS,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2573-8348,CNR2,2573-8348,2573-8348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancer Science,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1349-7006,CAS,1347-9032,1349-7006,679,256,423,62,57,58,90,39,60,46,81,44,39,41,62
Cardiovascular Drug Reviews,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1527-3466,CDR,0897-5957,1527-3466,26,2,24,0,2,2,4,5,4,1,1,0,1,4,2
Cardiovascular Therapeutics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-5922,CDR,1755-5914,1755-5922,70,24,46,5,4,6,3,4,5,8,10,12,4,6,3
Catheterization and Cardiovascular Diagnosis,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0304,CCD,0098-6569,1097-0304,14,0,14,1,1,0,1,2,0,0,5,1,1,0,2
Catheterization and Cardiovascular Interventions,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1522-726X,CCD,1522-1946,1522-726X,684,207,477,66,52,38,75,54,29,44,105,60,66,47,48
ce/papers,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2509-7075,E774,2509-7075,2509-7075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell Biochemistry and Function,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0844,CBF,0263-6484,1099-0844,98,33,65,4,12,4,4,6,2,5,19,9,8,10,15
Cell Biology International,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1095-8355,CBIN,1065-6995,1095-8355,275,61,214,12,16,24,26,13,17,30,43,33,28,13,20
Cell Biology International Reports,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2041-5346,CBI3,2041-5346,2041-5346,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Cell Motility,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0169,CM,0886-1544,1097-0169,79,0,79,5,13,12,3,6,3,2,6,9,11,6,3
Cell Motility,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0169a,CM,0271-6585,1097-0169,5,0,5,0,2,0,1,0,0,1,0,0,0,1,0
Cell Proliferation,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2184,CPR,0960-7722,1365-2184,165,44,121,15,15,20,8,9,4,17,15,34,14,4,10
Cellular Microbiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1462-5822,CMI,1462-5814,1462-5822,994,420,574,56,51,67,102,93,79,67,90,73,118,132,66
Centaurus,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0498,CNT,0008-8994,1600-0498,29,11,18,0,0,8,0,0,2,3,1,2,11,1,1
Center for Migration Studies Special Issues,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2050-411X, ,2050-411X,2050-411X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Center for Migration Studies special issues,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2050-411X,CMS3,2050-411X,2050-411X,6,0,6,0,4,0,0,1,0,0,0,0,0,1,0
Central Issues in Anthropology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1937-6227,CIAN,0739-7917,1937-6227,4,0,4,0,0,0,1,1,0,0,0,1,0,1,0
Cephalalgia,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-2982,CEPH,0333-1024,1468-2982,24,18,6,2,0,4,13,0,0,0,1,0,2,2,0
Cereal Chemistry,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1943-3638,CCHE,0009-0352,1943-3638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cereal Chemistry,John Wiley and Sons,Wiley Online Library,10.1094/(ISSN)1943-3638,CCHE,0009-0352,1943-3638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChemBioChem,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1439-7633,2268,1439-4227,1439-7633,1058,428,630,117,78,101,77,73,47,97,101,87,117,85,78
ChemBioEng Reviews,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2196-9744,E326,2196-9744,2196-9744,13,5,8,2,1,2,0,1,1,0,0,5,1,0,0
ChemCatChem,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1867-3899,2491,1867-3880,1867-3899,588,213,375,15,17,9,15,37,25,77,169,85,81,33,25
ChemElectroChem,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2196-0216,E701,2196-0216,2196-0216,314,102,212,19,11,27,30,27,16,32,47,31,42,16,16
Chemical Biology & Drug Design,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1747-0285,CBDD,1747-0277,1747-0285,197,57,140,14,6,20,11,14,14,16,26,15,25,24,12
Chemical Engineering & Technology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-4125,2044,0930-7516,1521-4125,149,6,143,2,14,20,8,8,5,4,22,18,35,6,7
Chemical Vapor Deposition,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-3862,2112,0948-1907,1521-3862,54,6,48,8,4,1,4,0,10,9,3,1,7,3,4
Chemie in unserer Zeit,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-3781,2006,0009-2851,1521-3781,34,1,33,0,1,1,0,4,1,1,4,9,13,0,0
Chemie Ingenieur Technik,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1522-2640,2004,0009-286X,1522-2640,33,9,24,0,2,1,4,1,1,6,0,3,4,7,4
ChemInform,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1522-2667,2073,0931-7597,1522-2667,613,34,579,4,17,15,3,8,4,75,146,131,195,9,6
Chemische Berichte,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0682,2005,0009-2940,1099-0682,181,0,181,11,37,18,13,10,8,8,19,15,13,15,14
Chemische Revue Ã¼ber die Fett- und Harz-Industrie,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-4133a,2114,0366-7960,1521-4133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chemische Umschau auf dem Gebiet der Fette, Oele, Wachse und Harze",John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-4133e,2114,0366-8320,1521-4133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chemischer Informationsdienst,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2199-2924,2073,0009-2975,2199-2924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chemischer Informationsdienst. Organische Chemie,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2199-2932,2073,0300-5151,2199-2932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chemistry & Biodiversity,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1612-1880,2136,1612-1872,1612-1880,156,3,153,12,9,9,12,5,7,31,30,16,17,4,4
Chemistry & Industry,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2047-6329,CIND,0009-3068,2047-6329,24,0,24,1,2,1,0,3,2,0,6,4,4,1,0
Chemistry â€“ A European Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-3765,2111,0947-6539,1521-3765,4066,1494,2572,275,342,395,281,327,264,368,358,408,549,278,221
Chemistry â€“ An Asian Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1861-471X,2451,1861-4728,1861-471X,449,153,296,13,29,52,27,36,25,66,51,46,48,44,12
ChemistryOpen,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2191-1363,2011,2191-1363,2191-1363,30,7,23,2,3,0,4,3,2,4,4,4,3,1,0
ChemistrySelect,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2365-6549,E766,2365-6549,2365-6549,286,102,184,0,0,0,0,2,6,4,3,0,229,22,20
CHEMKON,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-3730,2106,0944-5846,1521-3730,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0
ChemMedChem,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1860-7187,2452,1860-7179,1860-7187,566,202,364,61,30,43,44,40,31,51,92,49,56,39,30
ChemNanoMat,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2199-692X,E761,2199-692X,2199-692X,115,18,97,1,18,18,4,5,5,13,16,13,14,6,2
ChemPhotoChem,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2367-0932,E768,2367-0932,2367-0932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChemPhysChem,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1439-7641,2267,1439-4235,1439-7641,950,449,501,72,72,93,78,89,59,102,88,74,96,63,64
ChemPlusChem,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2192-6506,E688,2192-6506,2192-6506,135,28,107,3,13,0,5,12,3,18,22,17,26,11,5
ChemSusChem,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1864-564X,2476,1864-5631,1864-564X,813,309,504,37,39,40,52,51,82,99,120,78,91,85,39
Child & Family Social Work,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2206,CFS,1356-7500,1365-2206,47,20,27,2,4,5,2,9,4,1,1,9,6,3,1
Child Abuse Review,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0852,CAR,0952-9136,1099-0852,16,2,14,0,0,0,2,1,0,2,2,2,5,2,0
Child and Adolescent Mental Health,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1475-3588,CAMH,1475-357X,1475-3588,43,21,22,1,1,1,1,3,3,4,2,5,10,11,1
Child Development,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-8624,CDEV,0009-3920,1467-8624,1092,539,553,27,115,127,173,146,39,45,60,71,104,108,77
Child Development Perspectives,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1750-8606,CDEP,1750-8592,1750-8606,254,120,134,6,29,55,26,25,9,7,28,11,17,25,16
Child Psychology and Psychiatry Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1469-2155,CAMH,1360-6417,1469-2155,6,0,6,0,1,1,0,0,0,3,0,0,1,0,0
"Child: Care, Health and Development",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2214,CCH,0305-1862,1365-2214,159,65,94,13,13,5,15,5,8,19,16,18,27,8,12
Children & Society,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1099-0860,CHSO,0951-0605,1099-0860,28,10,18,1,0,4,2,1,0,1,1,6,7,0,5
China & World Economy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1749-124X,CWE,1671-2234,1749-124X,59,14,45,0,4,8,3,7,6,2,5,4,6,5,9
Chinese Journal of Chemistry,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1614-7065,2434,1001-604X,1614-7065,89,0,89,9,9,11,5,3,5,7,4,12,18,3,3
Chinese Journal of Digestive Diseases,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1443-9573,CDD,1443-9611,1443-9573,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Chinese Journal of Geophysics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2326-0440,CJG2,0898-9591,2326-0440,32,6,26,0,0,1,3,4,0,6,8,2,8,0,0
Chirality,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-636X,CHIR,0899-0042,1520-636X,63,6,57,3,4,5,3,5,1,5,8,12,6,4,7
City & Community,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-6040,CICO,1535-6841,1540-6040,276,137,139,17,17,20,38,7,17,8,18,17,35,56,26
City & Society,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1548-744X,CISO,0893-0465,1548-744X,84,32,52,6,4,12,21,18,1,3,6,3,4,2,4
Cladistics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1096-0031,CLA,0748-3007,1096-0031,256,134,122,28,48,16,31,24,18,9,24,14,18,14,12
"CLEAN â€“ Soil, Air, Water",John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1863-0650, ,1863-0650,1863-0669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLEAN â€“ Soil, Air, Water",John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1863-0669,2047,1863-0650,1863-0669,76,14,62,4,2,8,2,7,2,13,12,5,17,3,1
Clinical & Experimental Allergy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2222,CEA,0954-7894,1365-2222,436,192,244,30,34,28,28,35,36,43,48,40,62,23,29
Clinical & Experimental Allergy Reviews,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1472-9733,CER,1472-9725,1472-9733,8,6,2,0,0,0,0,0,0,0,0,2,6,0,0
Clinical & Experimental Immunology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2249,CEI,0009-9104,1365-2249,324,94,230,10,22,38,32,26,22,27,28,40,35,25,19
Clinical & Experimental Ophthalmology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1442-9071,CEO,1442-6404,1442-9071,159,34,125,10,11,10,23,8,6,14,25,13,20,7,12
Clinical & Laboratory Haematology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2257,IJLH,0141-9854,1365-2257,76,12,64,2,4,3,6,3,4,41,3,2,2,6,0
Clinical & Translational Immunology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2050-0068,CTI2,2050-0068,2050-0068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical Advances in Periodontics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2163-0097,CAP,2573-8046,2163-0097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical Advances in Periodontics,John Wiley and Sons,Wiley Online Library,10.1902/(ISSN)2163-0097,CAP,2573-8046,2163-0097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical Anatomy,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1098-2353,CA,0897-3806,1098-2353,316,44,272,11,19,3,92,11,18,24,45,35,22,25,11
Clinical and Experimental Dental Research,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2057-4347,CRE2,2057-4347,2057-4347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical and Experimental Dermatology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2230,CED,0307-6938,1365-2230,350,128,222,30,22,32,14,27,18,41,34,40,42,33,17
Clinical and Experimental Neuroimmunology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1759-1961,CEN3,1759-1961,1759-1961,26,12,14,2,0,0,0,3,1,7,4,1,5,0,3
Clinical and Experimental Optometry,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1444-0938,CXO,0816-4622,1444-0938,130,33,97,7,9,11,10,7,9,7,20,14,19,3,14
Clinical and Experimental Pharmacology and Physiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1681,CEP,0305-1870,1440-1681,255,70,185,26,20,35,14,12,14,27,34,23,23,19,8
Clinical and Translational Science,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1752-8062,CTS,1752-8054,1752-8062,118,50,68,10,7,5,9,8,14,13,12,11,15,3,11
Clinical Cardiology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1932-8737,CLC,0160-9289,1932-8737,497,63,434,54,40,27,48,51,43,32,43,48,38,36,37
Clinical Case Reports,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2050-0904,CCR3,2050-0904,2050-0904,58,29,29,4,6,5,11,5,3,2,2,8,3,7,2
Clinical Endocrinology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2265,CEN,0300-0664,1365-2265,750,353,397,49,58,76,58,50,69,65,62,78,80,69,36
Clinical Genetics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1399-0004,CGE,0009-9163,1399-0004,637,227,410,31,46,38,32,33,45,34,60,80,118,60,60
Clinical Implant Dentistry and Related Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1708-8208,CID,1523-0899,1708-8208,28,1,27,0,4,1,3,0,1,7,4,2,6,0,0
Clinical Liver Disease,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2046-2484,CLD3,2046-2484,2046-2484,111,64,47,10,7,9,7,8,3,7,19,10,9,14,8
Clinical Microbiology and Infection,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1469-0691,CLM,1198-743X,1469-0691,328,209,119,36,18,28,36,37,23,26,21,25,31,17,30
Clinical Obesity,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1758-8111,COB,1758-8103,1758-8111,78,38,40,3,3,4,10,6,6,6,6,11,8,8,7
Clinical Oral Implants Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0501,CLR,0905-7161,1600-0501,148,45,103,8,10,14,14,7,8,20,28,12,22,4,1
Clinical Orthodontics and Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0544,OCR,1397-5927,1600-0544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical Otolaryngology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1749-4486,COA,1749-4478,1749-4486,87,17,70,2,2,7,5,6,10,15,14,8,13,1,4
Clinical Otolaryngology & Allied Sciences,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2273,COA,0307-7772,1365-2273,43,5,38,1,5,6,6,2,2,5,5,5,2,1,3
Clinical Pharmacology & Therapeutics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1532-6535,CPT,0009-9236,1532-6535,651,143,508,35,32,37,47,40,25,66,104,91,76,58,40
Clinical Pharmacology in Drug Development,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2160-7648,CPDD,2160-763X,2160-7648,53,19,34,1,0,1,2,6,3,10,1,10,7,10,2
Clinical Physiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2281,CPF,0144-5979,1365-2281,5,3,2,1,2,0,1,0,0,0,1,0,0,0,0
Clinical Physiology and Functional Imaging,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1475-097X,CPF,1475-0961,1475-097X,83,36,47,4,9,11,4,3,5,9,2,8,18,8,2
Clinical Progress in Electrophysiology and Pacing,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-8167b,JCE,8756-9264,1540-8167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical Progress in Pacing and Electrophysiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-8167c,JCE,0736-6108,1540-8167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical Psychologist,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1742-9552,CP,1328-4207,1742-9552,15,4,11,0,0,0,2,0,2,3,1,4,3,0,0
Clinical Psychology & Psychotherapy,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0879,CPP,1063-3995,1099-0879,92,26,66,7,4,5,6,15,6,15,6,9,13,3,3
Clinical Psychology: Science and Practice,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-2850,CPSP,0969-5893,1468-2850,152,84,68,5,6,18,22,15,5,6,10,7,14,26,18
Clinical Transplantation,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1399-0012,CTR,0902-0063,1399-0012,324,95,229,15,13,24,24,17,27,25,38,54,26,24,37
CNS Drug Reviews,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1527-3458,CNS,1080-563X,1527-3458,31,5,26,1,0,4,2,4,6,1,5,3,2,2,1
CNS Neuroscience & Therapeutics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-5949,CNS,1755-5930,1755-5949,255,110,145,21,21,25,33,15,17,15,34,15,21,23,15
Cochlear Implants International,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1556-9152,CII,1467-0100,1556-9152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cognitive Science,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1551-6709,COGS,0364-0213,1551-6709,387,138,249,11,23,36,40,33,12,38,41,45,41,43,24
College Athletics and the Law,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1943-7579,CATL,1552-8774,1943-7579,7,5,2,0,5,0,0,0,0,1,0,1,0,0,0
College Student Personnel Abstracts,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2150-1092a,HEA,0010-1168,2150-1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Color Research & Application,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6378,COL,0361-2317,1520-6378,99,24,75,0,2,14,9,22,4,4,9,1,22,7,5
Coloration Technology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1478-4408,COTE,1472-3581,1478-4408,49,15,34,0,1,5,1,8,5,2,7,4,9,5,2
Colorectal Disease,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1463-1318,CODI,1462-8910,1463-1318,315,84,231,22,13,28,34,7,22,26,29,35,29,30,40
Communication Theory,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-2885,COMT,1050-3293,1468-2885,491,138,353,6,44,27,34,36,17,6,24,93,87,92,25
"Communication, Culture & Critique",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1753-9137,CCCR,1753-9129,1753-9137,97,58,39,5,2,8,14,8,4,2,2,8,28,8,8
Communications in Applied Numerical Methods,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1555-2047,CNM,0748-8025,1555-2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Communications in Numerical Methods in Engineering,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0887,CNM,1069-8299,1099-0887,13,0,13,0,1,2,1,0,0,5,2,1,1,0,0
Communications on Pure and Applied Mathematics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0312,CPA,0010-3640,1097-0312,92,0,92,5,7,5,19,5,9,10,7,7,11,4,3
Communicator,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1548-7172a,NUAN,1062-1938,1548-7172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Community Dentistry and Oral Epidemiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0528,CDOE,0301-5661,1600-0528,57,18,39,0,2,10,5,0,2,8,7,3,15,3,2
Community Health Studies,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1753-6405b,AZPH,0314-9021,1753-6405,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
