Journal Code,Journal Code with Format,Media,USA,UK,Europe,Rest of World
EDTH,EDTH/E,Online,$344,£295,€ 373,$574
EEA,EEA/E,Online,"$4,112","£2,226","€ 2,828","$4,796"
EEJ,EEJ/E,Online,"$15,789","£8,059","€ 10,189","$15,789"
EET,EET/E,Online,"$1,222",£628,€ 789,"$1,222"
EFF,EFF/E,Online,"$1,293",£772,€ 979,"$1,506"
EFP,EFP/E,Online,"$1,892","£1,129","€ 1,435","$2,425"
EHR,EHR/E,Online,$726,£366,€ 466,$846
EIP,EIP/E,Online,$388,£208,€ 260,$397
EJE,EJE/E,Online,"$1,139",£679,€ 858,"$1,324"
EJED,EJED/E,Online,"$3,017","£1,802","€ 2,286","$3,523"
EJH,EJH/E,Online,"$2,326","£1,386","€ 1,758","$2,711"
EJHF,EJHF/E,Online,"$1,436",£921,"€ 1,121","$1,436"
EJI,EJI/E,Online,"$2,977","£1,522","€ 2,383","$2,977"
EJIC,EJIC/E,Online,"$9,922","£5,067","€ 7,100","$9,922"
EJLT,EJLT/E,Online,"$2,795","£1,430","€ 2,231","$2,795"
EJN,EJN/E,Online,"$8,889","£4,811","€ 6,112","$10,370"
EJOC,EJOC/E,Online,"$12,925","£6,597","€ 9,307","$12,925"
EJOP,EJOP/E,Online,"$1,157",£652,€ 829,"$1,355"
EJP,EJP/E,Online,"$1,306",£842,€ 984,"$1,306"
EJSP,EJSP/E,Online,"$1,955","£1,000","€ 1,263","$1,955"
ELAN,ELAN/E,Online,"$6,513","£3,326","€ 5,187","$6,513"
ELE,ELE/E,Online,"$3,796","£2,056","€ 2,611","$4,427"
ELPS,ELPS/E,Online,"$8,333","£4,254","€ 6,846","$8,333"
ELSC,ELSC/E,Online,"$2,055","£1,053","€ 1,566","$2,055"
EM,EM/E,Online,"$1,892",£969,"€ 1,225","$1,892"
EMED,EMED/E,Online,"$1,010",£567,€ 717,"$1,174"
EMM,EMM/E,Online,"$1,179",£729,€ 924,"$1,422"
EMR,EMR/E,Online,$592,£366,€ 466,$715
EMRE,EMRE/E,Online,"$1,209",£642,€ 912,"$1,209"
EMT,EMT/E,Online,"$4,049","£2,073","€ 3,194","$4,049"
ENE,ENE/E,Online,"$3,267","£2,041","€ 2,588","$3,992"
ENR,ENR/E,Online,$683,£400,€ 505,$777
ENS,ENS/E,Online,"$1,023",£634,€ 804,"$1,242"
,,,,,,
ENTE,ENTE/E(MEDIUM),Online,"$4,596","£2,944","€ 3,590","$4,596"
,,,,,,
ENV,ENV/E,Online,"$3,007","£1,535","€ 1,943","$3,007"
EOS,EOS/E,Online,"$1,115",£666,€ 842,"$1,298"
EP,EP/E,Online,"$1,268",£650,€ 820,"$1,268"
EPA2,EPA2/E,Online,$490,£310,€ 358,$490
EPD2,EPD2/E,Online,$978,£609,€ 770,$978
EPH,EPH/E,Online,"$1,772",£958,"€ 1,216","$2,065"
EPI,EPI/E,Online,"$2,327","£1,621","€ 2,058","$3,173"
EPP,EPP/E,Online,"$1,583",£858,"€ 1,090","$1,844"
EQE,EQE/E,Online,"$9,111","£4,654","€ 5,883","$9,111"
ER,ER/E,Online,"$9,904","£5,060","€ 6,394","$9,904"
ERE2,ERE2/E,Online,$959,£729,€ 821,$959
EREV,EREV/E,Online,$362,£228,€ 287,$362
ERT,ERT/E,Online,"$1,309",£673,€ 850,"$1,309"
ERV,ERV/E,Online,$939,£504,€ 608,$939
ESP,ESP/E,Online,"$6,685","£3,414","€ 4,315","$6,685"
ETEP,ETEP/E,Online,"$1,209",£622,€ 780,"$1,209"
ETH,ETH/E,Online,"$3,588","£2,133","€ 2,710","$4,598"
ETHO,ETHO/E,Online,$136,£72,€ 88,$133
ETT,ETT/E,Online,"$1,161",£595,"€ 1,126","$1,161"
EUCH,EUCH/E,Online,$297,£182,€ 232,$349
EUFM,EUFM/E,Online,"$2,612","£1,556","€ 1,974","$3,047"
EULJ,EULJ/E,Online,"$2,220","£1,328","€ 1,682","$2,592"
EV,EV/E,Online,$454,£237,€ 297,$454
EVAN,EVAN/E,Online,"$1,147",£588,€ 744,"$1,147"
EVE,EVE/E,Online,$824,£504,€ 589,$908
EVJ,EVJ/E,Online,$966,£592,€ 691,"$1,064"
EVO,EVO/E,Online,"$1,139",£710,€ 898,"$1,245"
EXD,EXD/E,Online,"$1,447",£867,"€ 1,098","$1,690"
EXSY,EXSY/E,Online,"$1,317",£786,€ 997,"$1,533"
FAAM,FAAM/E,Online,"$1,487",£702,€ 891,"$1,733"
FAF,FAF/E,Online,"$1,562",£852,"€ 1,079","$1,821"
FAM,FAM/E,Online,"$4,723","£2,413","€ 3,048","$4,723"
FAMP,FAMP/E,Online,$635,£466,€ 551,$901
FCP,FCP/E,Online,"$1,850","£1,005","€ 1,279","$2,158"
FCRE,FCRE/E,Online,"$1,140",£651,€ 827,"$1,272"
FCSR,FCSR/E,Online,$925,£568,€ 664,$925
FEB2,FEB2/E,Online,"$9,044","£5,700","€ 7,294","$9,044"
FEBS,FEBS/E,Online,"$8,088","£4,376","€ 5,556","$9,433"
FEC,FEC/E,Online,"$2,301","£1,246","€ 1,580","$2,684"
FEDR,FEDR/E,Online,"$2,104","£1,075","€ 1,718","$2,104"
FEE,FEE/E,Online,$400,£251,€ 322,$400
FFE,FFE/E,Online,"$6,002","£3,249","€ 4,124","$7,000"
FFJ,FFJ/E,Online,"$3,487","£1,781","€ 2,252","$3,487"
FGC,FGC/E,Online,"$6,706","£4,095","€ 4,799","$6,706"
FIMA,FIMA/E,Online,$562,£313,€ 396,$610
FIRE,FIRE/E,Online,$593,£429,€ 542,$838
FISC,FISC/E,Online,$789,£473,€ 598,$920
FLAN,FLAN/E,Online,$415,£215,€ 269,$546
FLD,FLD/E,Online,"$11,036","£5,635","€ 7,124","$11,036"
FME,FME/E,Online,"$2,092","£1,135","€ 1,441","$2,434"
FMII,FMII/E,Online,$922,£689,€ 874,"$1,347"
FOG,FOG/E,Online,"$2,030","£1,100","€ 1,395","$2,367"
FOR,FOR/E,Online,"$2,871","£1,466","€ 1,857","$2,871"
FORS,FORS/E,Online,$125,£65,€ 87,$125
FUCE,FUCE/E,Online,"$2,058","£1,053","€ 1,973","$2,058"
FUT,FUT/E,Online,"$3,811","£2,116","€ 2,675","$3,811"
FWB,FWB/E,Online,"$9,372","£5,076","€ 6,446","$10,937"
GAMM,GAMM/E,Online,$154,£80,€ 123,$154
GAS,GAS/E,Online,"$2,519","£1,289","€ 1,633","$2,519"
GBB,GBB/E,Online,"$1,378",£747,€ 950,"$1,609"
,,,,,,
GBC,GBC/E(MEDIUM),Online,$932,£590,€ 682,$932
,,,,,,
GBI,GBI/E,Online,"$1,196",£652,€ 824,"$1,394"
GCB,GCB/E,Online,"$7,707","£4,175","€ 5,298","$8,987"
GCC,GCC/E,Online,"$4,077","£2,083","€ 2,631","$4,077"
GEA,GEA/E,Online,"$3,196","£1,634","€ 2,063","$3,196"
GEAN,GEAN/E,Online,$480,£294,€ 370,$568
GEC3,GEC3/E,Online,"$1,808","£1,081","€ 1,373","$2,115"
GEER,GEER/E,Online,$230,£152,€ 190,$294
GENA,GENA/E,Online,$23,£14,€ 15,$21
GEND,GEND/E,Online,"$1,137",£685,€ 869,"$1,553"
GEOJ,GEOJ/E,Online,$472,£280,€ 356,$547
GEOR,GEOR/E,Online,$706,£439,€ 556,$856
GEOT,GEOT/E,Online,$238,£118,€ 160,$238
GEPI,GEPI/E,Online,"$5,443","£2,781","€ 3,513","$5,443"
GEQU,GEQU/E,Online,$254,£159,€ 186,$254
GER,GER/E,Online,$913,£547,€ 692,"$1,064"
GERE,GERE/E,Online,$429,£265,€ 309,$429
GERM,GERM/E,Online,$100,£55,€ 95,$100
GETE,GETE/E,Online,$117,£82,€ 92,$117
GFS,GFS/E,Online,"$2,102","£1,146","€ 1,456","$2,452"
,,,,,,
GGG3,GGG3/E(MEDIUM),Online,"$1,152",£728,€ 842,"$1,152"
,,,,,,
GGI,GGI/E,Online,$608,£377,€ 462,$733
GGR,GGR/E,Online,"$1,133",£625,€ 792,"$1,219"
,,,,,,
GHG3,GHG3/E(MEDIUM),Online,"$2,181","£1,374","€ 1,594","$2,181"
,,,,,,
GJ,GJ/E,Online,"$2,877","£1,469","€ 1,860","$2,877"
GLAL,GLAL/E,Online,"$1,039",£607,€ 768,"$1,381"
GLIA,GLIA/E,Online,"$7,146","£3,647","€ 4,613","$7,146"
GLOB,GLOB/E,Online,$939,£561,€ 711,"$1,092"
GOVE,GOVE/E,Online,"$1,081",£835,"€ 1,054","$1,625"
,,,,,,
GPOL,GPOL/E(MEDIUM),Online,$785,£393,€ 498,$785
,,,,,,
GPR,GPR/E,Online,"$2,397","£1,300","€ 1,652","$2,797"
GPS,GPS/E,Online,"$3,478","£1,779","€ 2,243","$3,478"
,,,,,,
GRL,GRL/E(MEDIUM),Online,"$5,136","£3,238","€ 3,751","$5,136"
,,,,,,
GROW,GROW/E,Online,$511,£418,€ 532,$819
GRS,GRS/E,Online,$631,£327,€ 416,$631
GSJ,GSJ/E,Online,$541,£278,€ 351,$541
GTC,GTC/E,Online,"$3,886","£2,182","€ 2,770","$4,268"
GTO,GTO/E,Online,"$1,522",£822,"€ 1,045","$1,777"
GWAO,GWAO/E,Online,"$1,814","£1,083","€ 1,374","$2,115"
GWAT,GWAT/E,Online,$909,£547,€ 694,"$1,067"
GWMR,GWMR/E,Online,$419,£347,€ 437,$674
HAE,HAE/E,Online,"$1,936","£1,051","€ 1,334","$2,258"
HAST,HAST/E,Online,$533,£346,€ 404,$533
HBM,HBM/E,Online,"$3,244","£1,659","€ 2,095","$3,244"
HDI,HDI/E,Online,$467,£368,€ 467,$715
HE,HE/E,Online,$426,£219,€ 278,$426
HEA,HEA/E,Online,"$1,307",£801,€ 936,"$1,307"
HEAD,HEAD/E,Online,$680,£561,€ 714,"$1,097"
HEC,HEC/E,Online,"$2,807","£1,425","€ 1,814","$2,807"
HED,HED/E,Online,"$3,127","£1,599","€ 2,021","$3,127"
HEL,HEL/E,Online,"$2,220","£1,207","€ 1,531","$2,594"
HEPR,HEPR/E,Online,"$2,560","£1,386","€ 1,758","$2,711"
HEQU,HEQU/E,Online,"$1,033",£510,€ 647,"$1,203"
HESR,HESR/E,Online,"$1,254",£934,"€ 1,187","$1,829"
HEYJ,HEYJ/E,Online,$790,£443,€ 561,$923
HFM,HFM/E,Online,"$1,879",£960,"€ 1,211","$1,879"
HIC3,HIC3/E,Online,"$1,451",£826,"€ 1,050","$1,615"
HIPO,HIPO/E,Online,"$3,020","£1,544","€ 1,953","$3,020"
HIR,HIR/E,Online,"$1,205",£655,€ 830,"$1,405"
HIS,HIS/E,Online,"$3,930","£2,125","€ 2,699","$4,588"
HISN,HISN/E,Online,$286,£239,€ 304,$467
HISR,HISR/E,Online,$729,£324,€ 409,$851
HIST,HIST/E,Online,$915,£520,€ 655,"$1,067"
HITH,HITH/E,Online,$446,£345,€ 436,$667
HIV,HIV/E,Online,"$2,256","£1,224","€ 1,552","$2,630"
HLCA,HLCA/E,Online,"$5,227","£2,670","€ 3,967","$5,227"
HOJO,HOJO/E,Online,"$1,483",£730,€ 926,"$1,730"
HON,HON/E,Online,"$2,889","£1,477","€ 1,864","$2,889"
HPJA,HPJA/E,Online,$315,£245,€ 292,$315
HPM,HPM/E,Online,"$3,670","£1,875","€ 2,371","$3,670"
HRDQ,HRDQ/E,Online,$648,£335,€ 424,$648
HRM,HRM/E,Online,"$1,537",£790,€ 998,"$1,537"
HRMJ,HRMJ/E,Online,$680,£409,€ 514,$790
HSC,HSC/E,Online,"$1,677",£909,"€ 1,155","$1,957"
HTJ,HTJ/E,Online,"$10,146","£5,184","€ 6,547","$10,146"
HUMU,HUMU/E,Online,"$2,705","£1,380","€ 1,745","$2,705"
HUP,HUP/E,Online,"$2,974","£1,522","€ 1,919","$2,974"
HYP,HYP/E,Online,"$8,341","£4,259","€ 5,384","$8,341"
HYPA,HYPA/E,Online,$348,£222,€ 279,$431
IAR,IAR/E,Online,"$1,994","£1,230","€ 1,565","$2,411"
IBI,IBI/E,Online,"$1,123",£608,€ 774,"$1,309"
ICAD,ICAD/E,Online,"$1,752",£948,"€ 1,207","$2,040"
ICD,ICD/E,Online,"$1,245",£650,€ 804,"$1,245"
ICS,ICS/E,Online,"$3,126","£1,692","€ 2,148","$3,648"
IDH,IDH/E,Online,$631,£378,€ 482,$738
IDJ,IDJ/E,Online,$542,£343,€ 463,$542
IDT,IDT/E,Online,"$1,469",£797,"€ 1,009","$1,719"
IEAM,IEAM/E,Online,$942,£578,€ 674,$942
IEJ,IEJ/E,Online,"$2,733","£1,484","€ 1,883","$3,191"
IEP,IEP/E,Online,"$1,457",£797,"€ 1,010","$1,698"
IERE,IERE/E,Online,$711,£491,€ 529,$711
IIR,IIR/E,Online,"$1,722",£951,"€ 1,112","$1,722"
IIS2,IIS2/E,Online,$536,£335,€ 401,$536
IJAC,IJAC/E,Online,$768,£431,€ 543,$838
IJAG,IJAG/E,Online,$431,£265,€ 310,$468
IJAL,IJAL/E,Online,$523,£315,€ 397,$613
IJAU,IJAU/E,Online,"$1,323",£790,"€ 1,001","$1,544"
IJC,IJC/E,Online,"$6,782","£3,465","€ 4,376","$6,782"
IJCH,IJCH/E,Online,"$2,841","£1,833","€ 2,115","$2,841"
IJCP,IJCP/E,Online,$863,£355,€ 446,"$1,006"
IJCS,IJCS/E,Online,"$2,067","£1,123","€ 1,425","$2,411"
IJD,IJD/E,Online,"$2,540","£1,513","€ 1,922","$2,962"
IJET,IJET/E,Online,$696,£429,€ 546,$840
IJFE,IJFE/E,Online,"$1,456",£745,€ 943,"$1,456"
IJFS,IJFS/E,Online,"$3,979","£2,155","€ 2,735","$4,641"
IJGO,IJGO/E,Online,"$4,063","£2,728","€ 3,696","$4,063"
IJI,IJI/E,Online,"$2,851","£1,545","€ 1,960","$3,325"
IJJS,IJJS/E,Online,$216,£138,€ 176,$263
IJLH,IJLH/E,Online,"$2,688","£1,454","€ 1,846","$3,134"
IJN,IJN/E,Online,"$1,459",£904,"€ 1,147","$1,768"
IJNA,IJNA/E,Online,$995,£698,€ 883,"$1,364"
IJNT,IJNT/E,Online,$328,£217,€ 274,$417
IJOP,IJOP/E,Online,"$1,263",£794,€ 924,"$1,263"
IJPO,IJPO/E,Online,"$1,020",£621,€ 821,"$1,020"
IJPP,IJPP/E,Online,$940,£473,€ 648,$940
IJSA,IJSA/E,Online,"$1,382",£827,"€ 1,046","$1,613"
IJST,IJST/E,Online,$958,£573,€ 724,"$1,117"
IJSW,IJSW/E,Online,"$1,283",£768,€ 977,"$1,503"
IJTD,IJTD/E,Online,"$1,300",£774,€ 981,"$1,512"
IJU,IJU/E,Online,"$2,130","£1,317","€ 1,672","$2,575"
IJUN,IJUN/E,Online,$535,£293,€ 369,$624
IJUR,IJUR/E,Online,"$1,258",£671,€ 855,"$1,413"
ILR,ILR/E,Online,$503,£276,€ 348,$535
ILRF,ILRF/E,Online,$503,£276,€ 348,$535
ILRS,ILRS/E,Online,$503,£276,€ 348,$535
IMA,IMA/E,Online,"$1,879",£960,"€ 1,215","$1,879"
IMB,IMB/E,Online,"$2,830","£1,531","€ 1,945","$3,298"
IMCB,IMCB/E,Online,"$2,745","£1,409","€ 2,182","$2,745"
IMHJ,IMHJ/E,Online,$939,£476,€ 604,$939
IMIG,IMIG/E,Online,$695,£417,€ 529,$814
IMJ,IMJ/E,Online,"$1,840","£1,138","€ 1,442","$2,225"
IMM,IMM/E,Online,"$3,062","£1,659","€ 2,108","$3,573"
IMR,IMR/E,Online,"$1,942","£1,161","€ 1,474","$2,271"
INA,INA/E,Online,"$1,254",£749,€ 951,"$1,463"
INFA,INFA/E,Online,"$1,300",£796,€ 933,"$1,300"
INFI,INFI/E,Online,"$1,547",£924,"€ 1,171","$1,802"
INM,INM/E,Online,$833,£511,€ 648,$999
INR,INR/E,Online,$604,£328,€ 415,$704
INS,INS/E,Online,$897,£536,€ 682,"$1,047"
INSR,INSR/E,Online,$579,£324,€ 408,$629
INST,INST/E,Online,$374,£236,€ 316,$374
INT,INT/E,Online,"$5,237","£2,677","€ 3,383","$5,237"
INZ2,INZ2/E,Online,"$1,160",£764,€ 861,"$1,160"
IPD,IPD/E,Online,"$2,089","£1,136","€ 1,441","$2,436"
IR,IR/E,Online,$433,£224,€ 284,$433
IRD,IRD/E,Online,$950,£490,€ 615,$950
IREL,IREL/E,Online,$501,£437,€ 555,$822
IRFI,IRFI/E,Online,$744,£493,€ 625,$956
IROH,IROH/E,Online,"$2,733","£1,400","€ 2,106","$2,733"
IROM,IROM/E,Online,$362,£228,€ 287,$362
ISAF,ISAF/E,Online,"$1,409",£722,€ 913,"$1,409"
ISJ,ISJ/E,Online,"$1,702",£927,"€ 1,174","$1,988"
ISSJ,ISSJ/E,Online,$763,£348,€ 443,$889
ISSR,ISSR/E,Online,$477,£287,€ 364,$556
ITOR,ITOR/E,Online,"$2,216","£1,319","€ 1,675","$2,584"
IUB,IUB/E,Online,"$2,673","£1,367","€ 1,728","$2,673"
IVB,IVB/E,Online,$435,£265,€ 334,$514
IWJ,IWJ/E,Online,"$1,037",£562,€ 711,"$1,209"
IZY,IZY/E,Online,$403,£219,€ 278,$468
JAAC,JAAC/E,Online,$333,£258,€ 327,$501
JAAL,JAAL/E,Online,$184,£119,€ 139,$184
JABA,JABA/E,Online,$154,£99,€ 116,$154
JABR,JABR/E,Online,$257,£146,€ 185,$284
JAC,JAC/E,Online,"$2,789","£1,512","€ 1,921","$3,254"
JACC,JACC/E,Online,$365,£285,€ 363,$551
JACF,JACF/E,Online,$642,£393,€ 499,$767
JADE,JADE/E,Online,"$1,940",£963,"€ 1,222","$2,259"
JAE,JAE/E,Online,"$2,931","£1,498","€ 1,890","$2,931"
JAI,JAI/E,Online,"$1,930","£1,046","€ 1,327","$2,247"
JAN,JAN/E,Online,"$4,172","£2,257","€ 2,868","$4,866"
JANE,JANE/E,Online,"$2,158","£1,170","€ 1,484","$2,515"
JAOC,JAOC/E,Online,$146,£104,€ 120,$146
JAPP,JAPP/E,Online,"$1,309",£785,€ 996,"$1,531"
JAR,JAR/E,Online,"$1,164",£631,€ 800,"$1,359"
JASP,JASP/E,Online,"$2,304","£1,314","€ 1,666","$2,566"
JAT,JAT/E,Online,"$5,149","£2,631","€ 3,324","$5,149"
JAV,JAV/E,Online,$655,£392,€ 501,$767
JAWR,JAWR/E,Online,$793,£443,€ 559,$861
JBFA,JBFA/E,Online,"$3,036","£1,595","€ 2,021","$3,545"
JBG,JBG/E,Online,"$2,684","£1,456","€ 1,843","$3,131"
,,,,,,
JBIO,JBIO/E(MEDIUM),Online,"$3,152","£2,190","€ 2,561","$3,152"
,,,,,,
JBL,JBL/E,Online,$330,£236,€ 271,$330
JBMR,JBMR/E,Online,"$1,218",£746,€ 875,"$1,218"
JBT,JBT/E,Online,"$1,620",£830,"€ 1,048","$1,620"
JCA,JCA/E,Online,"$2,484","£1,269","€ 1,603","$2,484"
JCAD,JCAD/E,Online,$456,£325,€ 371,$456
JCAF,JCAF/E,Online,"$1,335",£686,€ 864,"$1,335"
JCAL,JCAL/E,Online,"$2,097","£1,163","€ 1,474","$2,497"
JCAP,JCAP/E,Online,$370,£243,€ 311,$475
JCB,JCB/E,Online,"$16,829","£8,591","€ 10,861","$16,829"
JCC,JCC/E,Online,"$6,062","£3,096","€ 3,913","$6,062"
JCCM,JCCM/E,Online,"$1,183",£706,€ 897,"$1,377"
JCCS,JCCS/E,Online,"$2,105","£1,378","€ 1,613","$2,105"
JCE,JCE/E,Online,"$1,390","£1,105","€ 1,401","$2,162"
JCLP,JCLP/E,Online,"$1,553",£797,"€ 1,004","$1,553"
JCMS,JCMS/E,Online,"$2,302","£1,142","€ 1,447","$2,687"
JCOP,JCOP/E,Online,"$1,336",£683,€ 863,"$1,336"
JCP,JCP/E,Online,"$16,708","£8,529","€ 10,784","$16,708"
JCPE,JCPE/E,Online,"$1,763","£1,052","€ 1,335","$2,056"
JCPP,JCPP/E,Online,"$1,279",£761,€ 963,"$1,484"
JCPT,JCPT/E,Online,"$2,710","£1,468","€ 1,863","$3,160"
JCPY,JCPY/E,Online,"$1,241",£834,"€ 1,128","$1,241"
JCR,JCR/E,Online,"$1,341",£802,"€ 1,015","$1,341"
JCTB,JCTB/E,Online,"$4,207","£2,148","€ 2,718","$4,207"
JCU,JCU/E,Online,"$2,659","£1,358","€ 1,719","$2,659"
,,,,,,
JDB,JDB/E(MEDIUM),Online,"$1,469",£932,"€ 1,089","$1,469"
,,,,,,
JDE,JDE/E,Online,"$1,353",£841,"€ 1,067","$1,642"
JDV,JDV/E,Online,"$5,087","£2,760","€ 3,506","$5,934"
JEAB,JEAB/E,Online,$258,£165,€ 189,$258
JEB,JEB/E,Online,"$4,049","£2,175","€ 2,761","$4,049"
JEC,JEC/E,Online,"$2,257","£1,223","€ 1,557","$2,634"
JECS,JECS/E,Online,$806,£400,€ 507,$806
JEE,JEE/E,Online,$645,£409,€ 473,$645
JELS,JELS/E,Online,$711,£545,€ 689,"$1,062"
JEMS,JEMS/E,Online,$614,£483,€ 614,$945
JEMT,JEMT/E,Online,"$13,507","£6,894","€ 8,714","$13,507"
JEN,JEN/E,Online,"$4,088","£2,433","€ 3,089","$5,239"
JEP,JEP/E,Online,"$2,272","£1,229","€ 1,561","$2,643"
JERD,JERD/E,Online,"$1,085",£608,€ 768,"$1,185"
JERE,JERE/E,Online,$336,£235,€ 299,$471
JEU,JEU/E,Online,$595,£365,€ 462,$711
JFB,JFB/E,Online,"$6,614","£3,580","€ 4,544","$7,708"
JFBC,JFBC/E,Online,$714,£491,€ 618,$951
JFCJ,JFCJ/E,Online,$418,£214,€ 272,$418
JFD,JFD/E,Online,"$3,949","£2,139","€ 2,714","$4,607"
JFDS,JFDS/E,Online,"$1,201",£618,€ 782,"$1,138"
JFIR,JFIR/E,Online,$624,£536,€ 679,"$1,044"
JFO,JFO/E,Online,$777,£480,€ 609,$939
JFPE,JFPE/E,Online,$738,£503,€ 642,$982
JFPP,JFPP/E,Online,$687,£470,€ 593,$915
,,,,,,
JFR3,JFR3/E(MEDIUM),Online,"$1,174",£827,"€ 1,018","$1,174"
,,,,,,
JFS,JFS/E,Online,$579,£435,€ 549,$842
JGC4,JGC4/E,Online,"$1,220",£913,"€ 1,033","$1,220"
JGH,JGH/E,Online,"$2,278","£1,416","€ 1,794","$2,767"
JGM,JGM/E,Online,"$2,037","£1,045","€ 1,317","$2,037"
,,,,,,
JGRA,JGRA/E(MEDIUM),Online,"$5,079","£3,202","€ 3,709","$5,079"
,,,,,,
,,,,,,
JGRB,JGRB/E(MEDIUM),Online,"$4,867","£3,067","€ 3,553","$4,867"
,,,,,,
,,,,,,
JGRC,JGRC/E(MEDIUM),Online,"$3,874","£2,444","€ 2,831","$3,874"
,,,,,,
,,,,,,
JGRD,JGRD/E(MEDIUM),Online,"$9,999","£6,302","€ 7,301","$9,999"
,,,,,,
,,,,,,
JGRE,JGRE/E(MEDIUM),Online,"$1,764","£1,111","€ 1,287","$1,764"
,,,,,,
,,,,,,
JGRF,JGRF/E(MEDIUM),Online,"$1,514",£956,"€ 1,106","$1,514"
,,,,,,
,,,,,,
JGRG,JGRG/E(MEDIUM),Online,"$1,234",£779,€ 903,"$1,234"
,,,,,,
JGS,JGS/E,Online,"$1,353","£1,065","€ 1,353","$2,081"
JHBP,JHBP/E,Online,$751,£480,€ 589,$751
JHBS,JHBS/E,Online,$808,£414,€ 522,$808
JHET,JHET/E,Online,"$1,863","£1,016","€ 1,281","$1,983"
JHN,JHN/E,Online,"$1,464",£795,"€ 1,007","$1,703"
,,,,,,
JHRM,JHRM/E(MEDIUM),Online,"$1,692","£1,164","€ 1,253","$1,692"
,,,,,,
JIB,JIB/E,Online,$546,£350,€ 412,$546
,,,,,,
JICD,JICD/E(MEDIUM),Online,"$1,712",£878,"€ 1,115","$1,712"
,,,,,,
JID,JID/E,Online,"$2,558","£1,306","€ 1,653","$2,558"
JIEC,JIEC/E,Online,$665,£342,€ 429,$665
JIFM,JIFM/E,Online,"$1,382",£737,€ 932,"$1,613"
JIMD,JIMD/E,Online,"$2,803","£2,095","€ 2,371","$2,803"
JIP,JIP/E,Online,$380,£208,€ 243,$380
JIPB,JIPB/E,Online,"$1,205",£717,€ 910,"$1,403"
JIR,JIR/E,Online,"$2,051","£1,113","€ 1,413","$2,390"
JJNS,JJNS/E,Online,$430,£264,€ 334,$515
,,,,,,
JLB,JLB/E(MEDIUM),Online,"$1,253",£973,"€ 1,161","$1,253"
,,,,,,
JLC,JLC/E,Online,"$8,636","£4,408","€ 5,574","$8,636"
JLCA,JLCA/E,Online,$105,£56,€ 73,$106
JLCD,JLCD/E,Online,"$1,734",£964,"€ 1,386","$1,734"
JLMS,JLMS/E,Online,"$1,265",£753,"€ 1,130","$1,265"
,,,,,,
JLS,JLS/E(MEDIUM),Online,"$1,376",£702,"€ 1,085","$1,376"
,,,,,,
JMCB,JMCB/E,Online,$763,£416,€ 528,$812
JMCD,JMCD/E,Online,$290,£206,€ 238,$290
JMFT,JMFT/E,Online,$519,£331,€ 420,$642
JMG,JMG/E,Online,"$4,239","£2,298","€ 2,917","$4,946"
JMI,JMI/E,Online,"$3,553","£1,915","€ 2,431","$4,145"
JMOR,JMOR/E,Online,"$10,799","£5,511","€ 6,971","$10,799"
JMP,JMP/E,Online,"$1,768","£1,056","€ 1,341","$2,066"
JMR,JMR/E,Online,"$2,776","£1,420","€ 1,793","$2,776"
JMRI,JMRI/E,Online,"$3,305","£1,688","€ 2,135","$3,305"
JMS,JMS/E,Online,"$13,825","£7,056","€ 8,920","$13,825"
JMV,JMV/E,Online,"$9,716","£4,958","€ 6,267","$9,716"
JMWH,JMWH/E,Online,$691,£491,€ 564,$691
JNC,JNC/E,Online,"$7,263","£3,930","€ 4,992","$8,471"
JNE,JNE/E,Online,"$4,782","£2,588","€ 3,285","$5,574"
JNM,JNM/E,Online,"$3,160","£1,616","€ 2,040","$3,160"
JNP,JNP/E,Online,$414,£253,€ 333,$414
JNR,JNR/E,Online,"$21,062","£10,749","€ 13,591","$21,062"
JNS,JNS/E,Online,$670,£523,€ 664,"$1,020"
JNU,JNU/E,Online,$366,£267,€ 341,$520
JOA,JOA/E,Online,"$3,749","£2,030","€ 2,578","$4,372"
JOAC,JOAC/E,Online,"$1,072",£642,€ 811,"$1,247"
JOAP,JOAP/E,Online,$890,£532,€ 674,"$1,037"
JOAR,JOAR/E,Online,"$1,375",£952,"€ 1,209","$1,861"
JOB,JOB/E,Online,"$3,872","£1,978","€ 2,504","$3,872"
JOBM,JOBM/E,Online,"$2,426","£1,241","€ 1,928","$2,426"
JOC,JOC/E,Online,"$5,181","£2,646","€ 3,344","$5,181"
JOCA,JOCA/E,Online,$748,£699,€ 885,"$1,359"
JOCB,JOCB/E,Online,$444,£289,€ 332,$561
JOCC,JOCC/E,Online,$217,£154,€ 176,$217
JOCD,JOCD/E,Online,"$1,329",£723,€ 915,"$1,410"
JOCN,JOCN/E,Online,"$3,370","£1,826","€ 2,320","$3,929"
JOCP,JOCP/E,Online,"$1,243",£897,"€ 1,138","$1,753"
JOCS,JOCS/E,Online,$847,£664,€ 935,"$1,440"
JOE,JOE/E,Online,"$1,177",£606,€ 765,"$1,177"
JOEC,JOEC/E,Online,$217,£154,€ 176,$217
JOES,JOES/E,Online,"$1,752",£891,"€ 1,129","$2,039"
,,,,,,
JOFI,JOFI/E(MEDIUM),Online,$642,£412,€ 483,$642
,,,,,,
JOFO,JOFO/E,Online,$554,£344,€ 435,$666
JOFT,JOFT/E,Online,$852,£470,€ 595,$992
JOG,JOG/E,Online,"$1,036",£642,€ 815,"$1,251"
